month,gross_return,turnover,holdings,mean_prediction,cross_sectional_ic,linear_ic,long_short_gross_return,long_short_turnover,diagnostic_long_names,diagnostic_short_names,nonlinear_enabled,ridge_weight,tabm_weight,retrieval_weight,net_return,long_short_net_return,advanced_nav,long_short_nav,benchmark_return,benchmark_nav
2018-02-28,-0.04221112007666064,1.0,241,0.08273825897756053,0.037352663274700375,0.05583624725027071,0.014999482057601654,2.0,206,206,True,0.2,0.5,0.3,-0.04421112007666064,0.010999482057601654,0.9557888799233394,1.0109994820576016,-0.0589949465566848,0.9410050534433152
2018-03-31,0.029699981827876056,0.4107883817427386,228,0.07937473964273185,-0.09837402097087682,-0.006189580816632253,-0.02531200755040984,1.3362207520370784,197,197,True,0.2,0.5,0.3,0.02887840506439058,-0.027984449054483995,0.9833905383538059,0.9827072185578509,-0.0311006783355806,0.9117391579640188
2018-04-30,-0.03808533632075147,0.42738589211618255,241,0.0786315022579181,0.12610414704255,0.15893200074008715,0.051226011099147976,1.2989121045243492,207,207,True,0.2,0.5,0.3,-0.038940108104983835,0.048628186890099276,0.9450972044808904,1.0304944888401317,-0.0363264014205703,0.8786189553209651
2018-05-31,-0.004515271920675341,0.5532786885245902,244,0.080480394475185,0.11092309328380265,0.09531296204571157,0.03326895068731083,1.3708385506217138,210,210,True,0.7,0.0,0.3,-0.005621829297724521,0.030527273586067404,0.9397840293275422,1.061952676029889,0.0121069510916991,0.8892563520412758
2018-06-30,-0.1000028156093949,0.4860557768924303,251,0.08414085899424702,0.08575415513753244,0.03683141314449953,0.02119459881531499,1.394365818549642,220,220,True,0.7,0.0,0.3,-0.10097492716317977,0.018405867178215705,0.844889405417074,1.0814988359344457,-0.0766336028869925,0.8211094338942091
2018-07-31,0.015974608575703122,0.40784313725490196,255,0.08497545903649975,0.2287241711473618,0.2891675474858857,0.05279954474414689,1.2637214981230587,220,220,True,0.7,0.0,0.3,0.015158922301193319,0.05027210174790077,0.8576970182668929,1.1358680554547786,0.0019036905188696,0.8226725721384679
2018-08-31,-0.06825247843970557,0.48846153846153845,260,0.09103216095351521,0.18547806063082842,0.15901766585334381,0.057720522199556486,1.374268845469222,226,226,True,0.6,0.25,0.15,-0.06922940151662865,0.05497198450861804,0.7983191670096791,1.1983089766030728,-0.0520686312769598,0.7798371373181219
2018-09-30,0.004440307083607175,0.4128787878787879,264,0.09396012667946008,0.08170742574602884,0.05490073882890644,0.012683025858985545,1.2977984228174027,229,229,True,0.6,0.25,0.15,0.003614549507849599,0.010087429013350739,0.8012047311619008,1.2103968333406174,0.031298879206058,0.8042451656794398
2018-10-31,-0.08335391660098426,0.3857677902621723,267,0.09991780702222068,0.11700250679963276,0.1264363738115622,0.007307280285910031,1.1042996301084536,231,231,True,0.6,0.25,0.15,-0.0841254521815086,0.005098681025693124,0.7338030208629419,1.2165682607083304,-0.0828875907452079,0.7375832215277904
2018-11-30,0.05077929593824648,0.3717472118959108,269,0.07454755862134489,0.1011690372034972,0.16443590673321404,0.01843233784922583,1.2873092185592188,234,234,True,0.6,0.25,0.15,0.050035801514454664,0.01585771941210739,0.7705194431655473,1.2358602588323186,0.0059823117150232,0.7419956742747408
