refit_month,history_samples,train_samples,ridge_samples,best_epoch,tabm_validation_ic,ensemble_validation_ic,ridge_weight,tabm_weight,retrieval_weight
2018-01-31,94409,20000,94409,2,0.019481477835571373,0.07399587106104268,0.7,0.0,0.3
2018-04-30,101602,20000,101602,3,0.009800642937128541,0.07726086352969437,0.7,0.0,0.3
2018-07-31,109184,20000,109184,3,0.07568083029183781,0.09492028643501542,0.6,0.25,0.15
2018-10-31,117123,20000,117123,1,0.03215964981790074,0.08958807796079406,0.85,0.0,0.15
2019-01-31,125300,20000,125300,2,0.07359260765036191,0.11367013665539183,0.6,0.25,0.15
2019-04-30,133599,20000,133599,3,0.09366932947464894,0.12290917826292469,0.75,0.25,0.0
2019-07-31,141853,20000,141853,3,0.07504771876637269,0.13331340599908306,1.0,0.0,0.0
2019-10-31,150226,20000,150000,3,0.050554028209140296,0.12316591022954482,1.0,0.0,0.0
2020-01-31,158621,20000,150000,1,0.0723003981523224,0.09654443354357534,0.75,0.25,0.0
2020-04-30,167182,20000,150000,3,0.03588049545489474,0.08340138401775359,0.85,0.0,0.15
2020-07-31,175816,20000,150000,3,0.05043869399029852,0.05793614287317522,0.6,0.25,0.15
2020-10-31,184717,20000,150000,3,0.05800947636206902,0.06776376877790465,0.35,0.5,0.15
2021-01-31,193705,20000,150000,3,0.08540165073577859,0.0977365441015489,0.5,0.5,0.0
2021-04-30,197484,20000,150000,3,0.0666355321088919,0.10327240882268433,0.75,0.25,0.0
2021-07-31,201611,20000,150000,3,0.04032983244756204,0.0652454554877853,0.75,0.25,0.0
2021-10-31,205941,20000,150000,3,0.06500346476217973,0.08068086638862217,0.75,0.25,0.0
2022-01-31,210684,20000,150000,2,0.054547723504287195,0.07994331226899476,0.75,0.25,0.0
2022-04-30,215836,20000,150000,3,0.04974635114178719,0.07091640355276525,0.75,0.25,0.0
2022-07-31,221146,20000,150000,3,0.046993775016176915,0.08827750785384576,1.0,0.0,0.0
2022-10-31,226945,20000,150000,1,0.036212348481362046,0.09459899921064914,1.0,0.0,0.0
2023-01-31,232500,20000,150000,2,0.05866388649832813,0.09325370212593183,0.6,0.25,0.15
2023-04-30,238188,20000,150000,2,0.05250330949697369,0.09917292912708565,1.0,0.0,0.0
2023-07-31,244119,20000,150000,3,0.06580096966870162,0.12636225661471392,1.0,0.0,0.0
2023-10-31,249940,20000,150000,3,0.06739321128329333,0.10111523930528114,1.0,0.0,0.0
2024-01-31,255892,20000,150000,2,0.018297761276500454,0.10181977810588116,1.0,0.0,0.0
2024-04-30,262064,20000,150000,2,0.07422983133783065,0.11720759190377168,1.0,0.0,0.0
2024-07-31,268144,20000,150000,3,0.07132827974202934,0.11541775877817384,0.75,0.25,0.0
2024-10-31,273848,20000,150000,3,0.046967726959213286,0.08596462173885129,0.75,0.25,0.0
2025-01-31,279284,20000,150000,3,0.06864427331849082,0.10278399069784538,0.75,0.25,0.0
2025-04-30,284687,20000,150000,3,0.03340669323025878,0.07871427756631892,0.85,0.0,0.15
2025-07-31,289602,20000,150000,2,0.0690262279774397,0.08923466380643896,0.75,0.25,0.0
2025-10-31,294355,20000,150000,3,0.05765913392070849,0.11891342204816636,1.0,0.0,0.0
