liquidity_group,period,sample_count,mean_rank_ic,g10_minus_g1_return,average_turnover,average_net_return_20bps,average_net_return_50bps,months,retrospective_change_vs_prior
1,development,27354,0.07874976278910166,0.007967370728316617,0.7734207440170483,0.004873687752248423,0.0002331632881461331,48,-0.012256657030023335
1,retrospective_test,19200,0.041158142439029606,-0.00659971978861317,0.7519522112081107,-0.009607528633445613,-0.014119241900694277,23,-0.012256657030023335
1,selection,18121,0.06490147280652042,0.0033465037545037154,0.7543998232338632,0.00032890446156826184,-0.004197494477834918,24,-0.012256657030023335
2,development,27371,0.07746694697442925,0.014119499992284545,0.7776389586306983,0.011008944157761753,0.006343110405977562,48,-0.01220662663011088
2,retrospective_test,19208,0.08065229761844986,0.00021295451687603512,0.7650810787461313,-0.002847369798108488,-0.007437856270585278,23,-0.01220662663011088
2,selection,18134,0.09235715731509814,0.010719662301689284,0.7792134267345644,0.007602808594751026,0.002927528034343641,24,-0.01220662663011088
3,development,27377,0.09969454707068064,0.012867604042039552,0.7717551300371782,0.009780583521890837,0.005150052741667769,48,-0.005361161411651534
3,retrospective_test,19207,0.0946989936552475,0.008517390764393973,0.740896931157443,0.005553803039764201,0.001108421452819542,23,-0.005361161411651534
3,selection,18132,0.1085061815605355,0.014889500310051462,0.7767186623486921,0.011782625660656694,0.007122313686564542,24,-0.005361161411651534
4,development,27371,0.12349586231741878,0.022411419969687357,0.726255554684602,0.019506397750948947,0.015148864422841331,48,-0.007013060870049232
4,retrospective_test,19208,0.12306453402587876,0.01687128368807895,0.6793942928204258,0.014153706516797248,0.010077340759874692,23,-0.007013060870049232
4,selection,18134,0.126215473414182,0.025357269146569005,0.6999323811989426,0.02255753962177323,0.018357945334579576,24,-0.007013060870049232
5,development,27395,0.1347191719022796,0.016299415218588926,0.5587428429167417,0.014064443846921959,0.010711986789421507,48,-0.002780964025194555
5,retrospective_test,19218,0.14868076476433353,0.018313116227728847,0.47912890769257915,0.01639660059695853,0.013521827150803054,23,-0.002780964025194555
5,selection,18141,0.164936566324576,0.02588874528725788,0.5416573573596476,0.023722115857819286,0.0204721717136614,24,-0.002780964025194555
