listing_age_group,period,sample_count,mean_rank_ic,g10_minus_g1_return,average_turnover,average_net_return_20bps,average_net_return_50bps,months,retrospective_change_vs_prior
1-3y,development,18536,0.12315633040498673,0.013306876198376118,0.6337628041084556,0.010771824981942296,0.006969248157291562,48,-0.001607796172516605
1-3y,retrospective_test,10534,0.09081138896132634,0.012283498022271631,0.6560683423912662,0.009659224652706567,0.005722814598358967,23,-0.001607796172516605
1-3y,selection,13756,0.10621551054313254,0.014475712191200354,0.6214458110946721,0.011989928946821665,0.008261254080253631,24,-0.001607796172516605
10y+,development,64368,0.117084247454812,0.02235469124961979,0.5899154735102224,0.0199950293555789,0.016455536514517567,48,-0.017267271616352494
10y+,retrospective_test,47959,0.11041908884664005,0.008728173716952774,0.5259620995161306,0.006624325318888252,0.003468552721791467,23,-0.017267271616352494
10y+,selection,47664,0.1510735302681628,0.029636199416990746,0.5572979673923402,0.027407007547421383,0.02406321974306734,24,-0.017267271616352494
3-5y,development,16381,0.08983484705988566,0.01131554995028282,0.6262271667045096,0.008810641283464782,0.005053278283237725,48,0.0034533932864924868
3-5y,retrospective_test,14214,0.10840407643384319,0.016444341463482826,0.611280712013538,0.013999218615428676,0.01033153434334745,23,0.0034533932864924868
3-5y,selection,7686,0.11912960857678427,0.014666346403697858,0.5949747025807047,0.01228644759337504,0.008716599377890813,24,0.0034533932864924868
5-10y,development,32835,0.10444644083684464,0.020480240007167517,0.5906475737560093,0.01811764971214348,0.014573764269607421,48,-0.007564808307662848
5-10y,retrospective_test,22089,0.10696571034203399,0.012591872619947332,0.5578181421977576,0.010360600051156299,0.007013691197969756,23,-0.007564808307662848
5-10y,selection,18750,0.12473215376614201,0.019833121848052845,0.5619207605069343,0.017585438806025106,0.014213914242983502,24,-0.007564808307662848
<1y,development,4748,0.13637520249220716,0.0414097565773771,0.7174377535590771,0.03854000556314079,0.034235379041786335,48,0.0008494274947124583
<1y,retrospective_test,1245,0.17550935777147544,0.03423407394006527,0.781159420289855,0.031109436258905845,0.026422479737166715,23,0.0008494274947124583
<1y,selection,2806,0.15457238065256487,0.02535953631332852,0.745793327043327,0.02237636300515521,0.01790160304289525,24,0.0008494274947124583
