size_group,period,sample_count,mean_rank_ic,g10_minus_g1_return,average_turnover,average_net_return_20bps,average_net_return_50bps,months,retrospective_change_vs_prior
1,development,27354,0.15735533588179104,0.03456761176924986,0.71191280206724,0.03171996056098091,0.02744848374857747,48,-0.009012531663987099
1,retrospective_test,19200,0.131776026079895,0.02549992121713294,0.6797413863908901,0.022780955671569382,0.018702507353224037,23,-0.009012531663987099
1,selection,18121,0.1492610917174617,0.03445729399299021,0.7204763057012945,0.03157538877018503,0.027252530935977265,24,-0.009012531663987099
2,development,27371,0.1304053036572496,0.033129842113162826,0.6839599792714838,0.03039400219607689,0.02629024232044799,48,-0.008790286172855297
2,retrospective_test,19208,0.12849189944039374,0.021050371150976032,0.6546590847559303,0.01843173481195231,0.014503780303416728,23,-0.008790286172855297
2,selection,18134,0.1440515417860695,0.02655147253449983,0.6503172012628505,0.023950203729448432,0.020048300521871325,24,-0.008790286172855297
3,development,27377,0.12762038841718862,0.025789802210439028,0.6375132291082312,0.023239749294006105,0.019414669919356718,48,-0.0035638535738977024
3,retrospective_test,19207,0.13069323413271858,0.021785749888532772,0.5835105305329787,0.01945170776640086,0.01595064458320299,23,-0.0035638535738977024
3,selection,18132,0.1600406232872228,0.02490940471442192,0.5995543809999153,0.02251118719042226,0.018913860904422767,24,-0.0035638535738977024
4,development,27371,0.09968596358463137,0.010864007382119947,0.5823722582039507,0.008534518349304144,0.005040284800080441,48,-0.0130947726030906
4,retrospective_test,19208,0.1033919873041142,0.005894639254695077,0.5291671153634383,0.0037779707932413236,0.0006029681010606942,23,-0.0130947726030906
4,selection,18134,0.15728630510848784,0.02711481633345141,0.5909200400663549,0.024751136173185997,0.02120561593278786,24,-0.0130947726030906
5,development,27395,0.060675463626334636,0.00174108814231897,0.5478247439585373,-0.00045021083351517885,-0.003737159297266403,48,-0.019080744416584694
5,retrospective_test,19218,0.08642877922205017,-0.005823951642694055,0.5156353333345501,-0.007886492976032255,-0.010980304976039556,23,-0.019080744416584694
5,selection,18141,0.13471731489919261,0.02477249740546231,0.54222116241763,0.02260361275579179,0.01935028578128601,24,-0.019080744416584694
