volatility_group,period,sample_count,mean_rank_ic,g10_minus_g1_return,average_turnover,average_net_return_20bps,average_net_return_50bps,months,retrospective_change_vs_prior
1,development,27354,0.0660580115777352,0.014151132407215591,0.7478991004873267,0.011159536005266285,0.006672141402342325,48,-0.009691270852065066
1,retrospective_test,19200,0.06224721562719604,0.00040542495071920934,0.7316974305341347,-0.0025213647714173297,-0.0069115493546221375,23,-0.009691270852065066
1,selection,18121,0.09837209409917164,0.00604225919835296,0.7477437443624915,0.0030512842209029947,-0.0014351782452719536,24,-0.009691270852065066
2,development,27371,0.0700981837323236,0.011179147386868891,0.8669657922851831,0.00771128421772816,0.0025094894640170606,48,-0.01114200438842397
2,retrospective_test,19208,0.06641160119799348,0.004211196520854431,0.8413917752512855,0.0008456294198492893,-0.004202721231658422,23,-0.01114200438842397
2,selection,18134,0.10076574373894255,0.019527254431687912,0.8643367698279557,0.01606990735237609,0.010883886733408355,24,-0.01114200438842397
3,development,27377,0.07173597941005606,0.006342555294120468,0.8942453099976521,0.00276557405412986,-0.0025998978058560523,48,-0.007909218472575051
3,retrospective_test,19207,0.06922788783939911,0.001712659754139935,0.8871109342688129,-0.0018357839829353177,-0.0071584495885481944,23,-0.007909218472575051
3,selection,18132,0.09235028946944888,0.012901201159309504,0.8931684743491455,0.009328527261912922,0.003969516415818049,24,-0.007909218472575051
4,development,27371,0.0988791917239666,0.018421439225440133,0.9091393540588014,0.014784881809204927,0.00933004568485212,48,-0.010936754137741839
4,retrospective_test,19208,0.08735976477430993,0.011314725169844133,0.9016091635136212,0.007708288515789648,0.0022986335347079207,23,-0.010936754137741839
4,selection,18134,0.11454646405638673,0.02608151938973181,0.9099055087233371,0.022441897354838463,0.016982464302498442,24,-0.010936754137741839
5,development,27395,0.12458212113987906,0.022688617001971823,0.9134569193242662,0.01903478932467476,0.013554047808729165,48,-0.00047770148882324975
5,retrospective_test,19218,0.12459677977365263,0.026816685827573003,0.916340562979079,0.023151323575656687,0.017653280197782218,23,-0.00047770148882324975
5,selection,18141,0.149646223951972,0.03190015763082068,0.9009154459267114,0.028296495847113832,0.022891003171553567,24,-0.00047770148882324975
