factor,period,mean_standardized_coefficient,mean_absolute_coefficient,absolute_coefficient_stability,coefficient_direction_changes,refits
book_to_market,development,0.004538646208379437,0.004538646208379437,0.5643274765073052,0,16
book_to_market,retrospective_test,-0.001070753471283725,0.002060961179866525,0.2373798758161778,2,8
book_to_market,selection,-0.00195879647219375,0.002575776323078675,0.32814134333793643,3,8
cash_conversion,development,0.0063516194266382,0.0063516194266382,0.5440649995008178,0,16
cash_conversion,retrospective_test,0.00516622863428245,0.00516622863428245,0.8109806944472232,0,8
cash_conversion,selection,0.006769231325220863,0.006769231325220863,0.8802015737250942,0,8
downside_stability_12m,development,-0.0007304081911693458,0.0007304081911693458,0.37481006551013885,0,16
downside_stability_12m,retrospective_test,-0.00017156697205300347,0.0012811278433804464,0.28756790033519164,3,8
downside_stability_12m,selection,-0.0004681185192049588,0.0007430730073570411,0.0597027038080169,4,8
earnings_yield,development,0.007872566852869169,0.007872566852869169,0.6224238183793612,0,16
earnings_yield,retrospective_test,0.004288589040905912,0.004288589040905912,0.7578245473487597,0,8
earnings_yield,selection,0.003999344542048087,0.003999344542048087,0.6972306603760927,0,8
gross_margin,development,0.01036475317940495,0.01036475317940495,0.6224327266173453,0,16
gross_margin,retrospective_test,0.0064659855665292745,0.0064659855665292745,0.6922038483216088,0,8
gross_margin,selection,0.010241687796308536,0.010241687796308536,0.9284794151243996,0,8
illiquidity_premium,development,0.013811552920506561,0.013811552920506561,0.8294910553412014,0,16
illiquidity_premium,retrospective_test,0.012679815064039862,0.012679815064039862,0.9063322471313923,0,8
illiquidity_premium,selection,0.01309449889494285,0.01309449889494285,0.9306008377586096,0,8
large_cap_stability,development,-0.0032534578353495,0.0033510553353617127,0.6079575900763468,1,16
large_cap_stability,retrospective_test,-0.0027496329713727124,0.0027496329713727124,0.38830578404693217,0,8
large_cap_stability,selection,-0.0010418710016041376,0.0013637619166339374,0.6578663042656918,2,8
long_term_reversal_12_1,development,-0.005384685733116987,0.005384685733116987,0.7759013648443867,0,16
long_term_reversal_12_1,retrospective_test,-0.007451886476891937,0.007451886476891937,0.8438520799715712,0,8
long_term_reversal_12_1,selection,-0.005784131166256113,0.005784131166256113,0.8013557302775647,0,8
lottery_avoidance,development,0.005720587747818112,0.005720587747818112,0.822678163559281,0,16
lottery_avoidance,retrospective_test,0.0008756341494619874,0.0018103197358971873,0.34249481822918737,1,8
lottery_avoidance,selection,0.0026418595435816128,0.0026418595435816128,0.2505895285242429,0,8
