factor,period,mean_monthly_rank_ic,ic_standard_deviation,annualized_icir,positive_ic_month_share,months,rolling_12m_ic_at_period_end,retrospective_change_vs_development,retrospective_change_vs_selection
long_term_reversal_12_1,development,0.007355810265045168,0.14393183855436,0.1770370925274195,0.4583333333333333,48,0.06365778729558834,0.02791114515214427,0.022383012552172607
long_term_reversal_12_1,selection,0.012883942865016833,0.11410079907558876,0.39115665840762703,0.5,24,0.019190444097287634,0.02791114515214427,0.022383012552172607
long_term_reversal_12_1,retrospective_test,0.03526695541718944,0.12488747574037475,0.9782271320436452,0.6521739130434783,23,0.04114251461330699,0.02791114515214427,0.022383012552172607
earnings_yield,development,0.058748856735703264,0.11223882826928452,1.8132050436002252,0.7291666666666666,48,0.05715977697275515,-0.004221427280540417,-0.009083471434857722
earnings_yield,selection,0.06361090089002057,0.12412871260379027,1.7752107460974291,0.7083333333333334,24,0.08465698818405953,-0.004221427280540417,-0.009083471434857722
earnings_yield,retrospective_test,0.05452742945516285,0.1330351352565442,1.4198396241766353,0.6521739130434783,23,0.03792970907883067,-0.004221427280540417,-0.009083471434857722
book_to_market,development,0.048045447819689426,0.12576491326141026,1.3233763621039414,0.6041666666666666,48,0.10837277982185795,0.014666557466511847,-0.03331225364937637
book_to_market,selection,0.09602425893557764,0.11051107063965347,3.009995184607176,0.875,24,0.13101733481434816,0.014666557466511847,-0.03331225364937637
book_to_market,retrospective_test,0.06271200528620127,0.08633028358974176,2.5163911175460445,0.6086956521739131,23,0.055080085390932086,0.014666557466511847,-0.03331225364937637
sales_to_price,development,0.042332830780617316,0.10308510010366585,1.422564728879521,0.6666666666666666,48,0.07785441035433165,0.002820835553366867,-0.027517293325520123
sales_to_price,selection,0.0726709596595043,0.09924209872838376,2.536620969887859,0.7083333333333334,24,0.09432098853741368,0.002820835553366867,-0.027517293325520123
sales_to_price,retrospective_test,0.04515366633398418,0.07729792920667179,2.02355858795044,0.6521739130434783,23,0.031181337266936008,0.002820835553366867,-0.027517293325520123
low_volatility,development,0.09122461838557634,0.12692963013334174,2.48965783290966,0.8541666666666666,48,0.11339476688356688,-0.009051369561942788,-0.023508420267641744
