month,source_max_date,leakage_pass
2017-12-31,2017-12-29,True
2017-12-31,2017-12-28,True
2017-12-31,2017-12-25,True
2017-12-31,2017-12-15,True
2017-12-31,2017-12-22,True
2017-12-31,2017-12-18,True
2017-12-31,2017-12-26,True
2017-12-31,2017-12-19,True
2017-12-31,2017-12-27,True
2017-12-31,2017-12-21,True
2017-12-31,2017-12-14,True
2017-12-31,2017-12-20,True
2018-01-31,2018-01-31,True
2018-01-31,2018-01-16,True
2018-01-31,2018-01-29,True
2018-01-31,2018-01-25,True
2018-01-31,2018-01-23,True
2018-01-31,2018-01-24,True
2018-01-31,2018-01-18,True
2018-01-31,2018-01-17,True
2018-01-31,2018-01-30,True
2018-01-31,2018-01-22,True
2018-01-31,2018-01-19,True
2018-01-31,2018-01-26,True
2018-01-31,2018-01-15,True
2018-02-28,2018-02-28,True
2018-02-28,2018-02-23,True
2018-02-28,2018-02-22,True
2018-02-28,2018-02-26,True
2018-02-28,2018-02-27,True
2018-02-28,2018-02-14,True
2018-03-31,2018-03-30,True
2018-03-31,2018-03-28,True
2018-03-31,2018-03-29,True
2018-03-31,2018-03-19,True
2018-03-31,2018-03-23,True
2018-03-31,2018-03-26,True
2018-03-31,2018-03-20,True
2018-03-31,2018-03-22,True
2018-03-31,2018-03-21,True
2018-03-31,2018-03-16,True
2018-03-31,2018-03-15,True
2018-03-31,2018-03-27,True
2018-04-30,2018-04-27,True
2018-04-30,2018-04-19,True
2018-04-30,2018-04-26,True
2018-04-30,2018-04-17,True
2018-04-30,2018-04-25,True
2018-04-30,2018-04-23,True
2018-04-30,2018-04-20,True
2018-04-30,2018-04-24,True
2018-05-31,2018-05-31,True
2018-05-31,2018-05-29,True
2018-05-31,2018-05-30,True
2018-05-31,2018-05-17,True
2018-05-31,2018-05-22,True
2018-05-31,2018-05-25,True
2018-05-31,2018-05-24,True
2018-05-31,2018-05-18,True
2018-05-31,2018-05-28,True
2018-05-31,2018-05-21,True
2018-05-31,2018-05-23,True
2018-06-30,2018-06-29,True
2018-06-30,2018-06-28,True
2018-06-30,2018-06-15,True
2018-06-30,2018-06-14,True
2018-06-30,2018-06-19,True
2018-06-30,2018-06-27,True
2018-07-31,2018-07-31,True
2018-07-31,2018-07-17,True
2018-07-31,2018-07-26,True
2018-07-31,2018-07-18,True
2018-07-31,2018-07-24,True
2018-07-31,2018-07-30,True
2018-07-31,2018-07-23,True
2018-07-31,2018-07-27,True
2018-08-31,2018-08-31,True
2018-08-31,2018-08-29,True
2018-08-31,2018-08-22,True
2018-08-31,2018-08-27,True
2018-09-30,2018-09-28,True
2018-09-30,2018-09-27,True
2018-09-30,2018-09-18,True
2018-09-30,2018-09-14,True
2018-09-30,2018-09-26,True
2018-09-30,2018-09-21,True
2018-10-31,2018-10-31,True
2018-10-31,2018-10-29,True
2018-10-31,2018-10-19,True
2018-10-31,2018-10-30,True
2018-10-31,2018-10-24,True
2018-10-31,2018-10-25,True
2018-10-31,2018-10-26,True
2018-10-31,2018-10-23,True
2018-11-30,2018-11-30,True
2018-11-30,2018-11-28,True
2018-11-30,2018-11-23,True
2018-11-30,2018-11-20,True
2018-12-31,2018-12-28,True
2018-12-31,2018-12-20,True
2018-12-31,2018-12-24,True
2018-12-31,2018-12-27,True
2018-12-31,2018-12-21,True
2018-12-31,2018-12-25,True
2019-01-31,2019-01-31,True
2019-01-31,2019-01-21,True
2019-01-31,2019-01-30,True
2019-01-31,2019-01-17,True
2019-01-31,2019-01-22,True
2019-01-31,2019-01-23,True
2019-01-31,2019-01-18,True
2019-01-31,2019-01-24,True
2019-02-28,2019-02-28,True
2019-02-28,2019-02-27,True
2019-02-28,2019-02-22,True
2019-02-28,2019-02-25,True
2019-03-31,2019-03-29,True
2019-03-31,2019-03-25,True
2019-03-31,2019-03-21,True
2019-03-31,2019-03-27,True
2019-03-31,2019-03-19,True
2019-03-31,2019-03-22,True
2019-03-31,2019-03-26,True
2019-03-31,2019-03-15,True
2019-03-31,2019-03-20,True
2019-03-31,2019-03-18,True
2019-03-31,2019-03-28,True
2019-04-30,2019-04-30,True
2019-04-30,2019-04-24,True
