candidate,development_sharpe_50bp,selection_sharpe_50bp,average_pre_retro_sharpe_50bp,development_turnover,selection_turnover,pre_retro_turnover,selection_used_retrospective,accepted,rejection_reason,selected
production_core,0.5501532273338883,0.2360975308282516,0.3931253790810699,0.188562564940673,0.3272323568150472,0.23543686078553186,False,True,frozen_baseline,True
tail_penalty_0.05,0.5620855799742495,0.17642210085983664,0.36925384041704307,0.1901264279230255,0.3233235840495796,0.2351508187263677,False,False,selection_sharpe;average_sharpe_gain,False
tail_penalty_0.10,0.5452135131980049,0.1307858278676665,0.3379996705328357,0.19215397942678142,0.32092708835087386,0.23568291765464366,False,False,selection_sharpe;average_sharpe_gain,False
tail_penalty_0.15,0.5203381531801344,0.10925705387841415,0.3147976035292743,0.19561785693972059,0.3234695257680074,0.23883532245914146,False,False,development_sharpe;selection_sharpe;average_sharpe_gain,False
liquidity_penalty_0.05,0.539548679363282,0.20170789428309424,0.3706282868231881,0.1859425020482046,0.3237968307130276,0.23254114835744058,False,False,selection_sharpe;average_sharpe_gain,False
liquidity_penalty_0.10,0.5492760062428307,0.15529641167606048,0.35228620895944557,0.1824316238432848,0.3196870281601642,0.22882781685180742,False,False,selection_sharpe;average_sharpe_gain,False
liquidity_penalty_0.15,0.5372329889684603,0.12633135343548857,0.3317821712019744,0.18115419224058768,0.31666642026844816,0.2269611425598645,False,False,selection_sharpe;average_sharpe_gain,False
composite_penalty_0.05,0.5565088286867296,0.18744638400207364,0.3719776063444016,0.1880755102132673,0.3232135114332401,0.2337559613298779,False,False,selection_sharpe;average_sharpe_gain,False
composite_penalty_0.10,0.5555772712000784,0.1479925069205819,0.3517848890603301,0.1864419391912893,0.3211196917819733,0.23196681330645008,False,False,selection_sharpe;average_sharpe_gain,False
composite_penalty_0.15,0.5645311242525962,0.11133072235018028,0.33793092330138824,0.186948415972185,0.31938775708871986,0.23171664395523905,False,False,selection_sharpe;average_sharpe_gain,False
