refit_month,history_start,history_end,max_label_realization_month,future_leakage_pass,samples,epochs,mlp_validation_ic,ensemble_validation_ic,mlp_weight
2018-01-31,2016-01-31,2017-12-31,2018-01-31,True,50880,19,0.1458546785341465,0.1458546785341465,1.0
2018-04-30,2016-01-31,2018-03-31,2018-04-30,True,58073,20,0.12697569561576819,0.12803438309026421,0.75
2018-07-31,2016-01-31,2018-06-30,2018-07-31,True,65655,20,0.12244083328404642,0.12244083328404642,1.0
2018-10-31,2016-01-31,2018-09-30,2018-10-31,True,73594,20,0.1399210731544625,0.1399210731544625,1.0
2019-01-31,2016-01-31,2018-12-31,2019-01-31,True,81771,19,0.11619450712947567,0.11853619243605037,0.5
2019-04-30,2016-01-31,2019-03-31,2019-04-30,True,90070,9,0.10269659222319151,0.10906944253999117,0.25
2019-07-31,2016-01-31,2019-06-30,2019-07-31,True,98324,20,0.11394492332368641,0.11824454809727854,0.5
2019-10-31,2016-01-31,2019-09-30,2019-10-31,True,106697,15,0.11183269899856066,0.11332310223684129,0.5
2020-01-31,2016-01-31,2019-12-31,2020-01-31,True,115092,20,0.09750280725659147,0.09750280725659147,1.0
2020-04-30,2016-01-31,2020-03-31,2020-04-30,True,123653,7,0.10340122073303903,0.10524603851231518,0.75
2020-07-31,2016-01-31,2020-06-30,2020-07-31,True,132287,18,0.0900454807073078,0.0900454807073078,1.0
2020-10-31,2016-01-31,2020-09-30,2020-10-31,True,141188,5,0.08341763475984648,0.08377700900169265,0.75
2021-01-31,2016-01-31,2020-12-31,2021-01-31,True,150000,10,0.12196842658584174,0.12196842658584174,1.0
2021-04-30,2016-04-30,2021-03-31,2021-04-30,True,150000,13,0.11063673112978986,0.11273311534472065,0.5
2021-07-31,2016-07-31,2021-06-30,2021-07-31,True,150000,19,0.06368788971037803,0.06372289770601522,0.75
2021-10-31,2016-10-31,2021-09-30,2021-10-31,True,150000,19,0.08083406583270379,0.08307660375909534,0.5
2022-01-31,2017-01-31,2021-12-31,2022-01-31,True,150000,1,0.04437054638280083,0.05224788192915636,0.25
2022-04-30,2017-04-30,2022-03-31,2022-04-30,True,150000,6,0.06647449634049662,0.06647449634049662,1.0
2022-07-31,2017-07-31,2022-06-30,2022-07-31,True,150000,9,0.07916699453156092,0.07971505969126723,0.75
2022-10-31,2017-10-31,2022-09-30,2022-10-31,True,150000,12,0.08544133731330023,0.08741068367253321,0.5
2023-01-31,2018-01-31,2022-12-31,2023-01-31,True,150000,10,0.09773579044453747,0.10321631089189522,0.5
2023-04-30,2018-04-30,2023-03-31,2023-04-30,True,150000,20,0.10258745422657313,0.1051407788937861,0.5
2023-07-31,2018-07-31,2023-06-30,2023-07-31,True,150000,16,0.1238812515766008,0.1327658561670172,0.5
2023-10-31,2018-10-31,2023-09-30,2023-10-31,True,150000,9,0.11094133085252152,0.11330538075524113,0.75
2024-01-31,2019-01-31,2023-12-31,2024-01-31,True,150000,15,0.11585593566188598,0.11608308318318518,0.75
2024-04-30,2019-04-30,2024-03-31,2024-04-30,True,150000,8,0.14247721910062,0.1426886112808636,0.75
2024-07-31,2019-07-31,2024-06-30,2024-07-31,True,150000,13,0.1274791075739557,0.1295881159223975,0.5
2024-10-31,2019-10-31,2024-09-30,2024-10-31,True,150000,16,0.09697471120669054,0.09807853510413096,0.5
2025-01-31,2020-01-31,2024-12-31,2025-01-31,True,150000,9,0.10654963946712546,0.10793244994529128,0.75
2025-04-30,2020-04-30,2025-03-31,2025-04-30,True,150000,18,0.09232813143355618,0.09318728017814017,0.75
2025-07-31,2020-07-31,2025-06-30,2025-07-31,True,150000,14,0.10143312755255968,0.10143312755255968,1.0
2025-10-31,2020-10-31,2025-09-30,2025-10-31,True,150000,15,0.12422952661606264,0.124570217330527,0.75
