period,feature,mean_rank_ic,annualized_icir,positive_ic_month_ratio,months
development,analyst_attention,0.050597717691962425,1.630958709500288,0.625,48
development,analyst_breadth,0.05088939073824405,1.4541791726788926,0.6458333333333334,48
development,analyst_rating,0.008236651215970451,1.0353467565074441,0.5625,48
development,analyst_eps_growth,-0.0019467222784801041,-0.3410182092299256,0.08333333333333333,8
development,analyst_eps_revision,-0.0034618142419372243,-0.7537665450001103,0.0625,7
selection,analyst_attention,-0.02132804353814366,-0.699392528688555,0.4166666666666667,24
selection,analyst_breadth,-0.03132735588966863,-0.9151718446344148,0.4166666666666667,24
selection,analyst_rating,0.0028123540004715408,0.33787692025911786,0.5833333333333334,24
selection,analyst_eps_growth,-0.024233067960471456,-3.86806072443181,0.0,2
selection,analyst_eps_revision,-0.018102840329148228,-4.811694217171351,0.0,2
retrospective_test,analyst_attention,0.010078000377678096,0.276800044661884,0.5652173913043478,23
retrospective_test,analyst_breadth,0.012612601220119177,0.27508606396290086,0.5652173913043478,23
retrospective_test,analyst_rating,0.007672131023936848,0.8445426051707569,0.6521739130434783,23
retrospective_test,analyst_eps_growth,0.002219500052316898,0.222941875249086,0.2608695652173913,12
retrospective_test,analyst_eps_revision,0.0010653277511210924,0.3213962274348452,0.2608695652173913,9
