refit_month,history_start,history_end,max_label_realization_month,max_external_publish_date,future_label_pass,future_external_data_pass,samples,epochs,mlp_validation_ic
2018-01-31,2016-01-31,2017-12-31,2018-01-31,2017-12-29,True,True,49708,19,0.15297642744198778
2018-04-30,2016-01-31,2018-03-31,2018-04-30,2018-03-30,True,True,56788,20,0.16399185600721639
2018-07-31,2016-01-31,2018-06-30,2018-07-31,2018-06-29,True,True,64246,16,0.1486489622579093
2018-10-31,2016-01-31,2018-09-30,2018-10-31,2018-09-30,True,True,72127,17,0.1526617766047311
2019-01-31,2016-01-31,2018-12-31,2019-01-31,2018-12-29,True,True,80245,13,0.1336061522751288
2019-04-30,2016-01-31,2019-03-31,2019-04-30,2019-03-31,True,True,88514,17,0.1213592037274569
2019-07-31,2016-01-31,2019-06-30,2019-07-31,2019-06-30,True,True,96738,16,0.1260118495297796
2019-10-31,2016-01-31,2019-09-30,2019-10-31,2019-09-30,True,True,105090,18,0.13258746276994066
2020-01-31,2016-01-31,2019-12-31,2020-01-31,2019-12-31,True,True,113461,13,0.11823059463457102
2020-04-30,2016-01-31,2020-03-31,2020-04-30,2020-03-31,True,True,122004,9,0.12114490507143608
2020-07-31,2016-01-31,2020-06-30,2020-07-31,2020-06-30,True,True,130615,5,0.12571276653694646
2020-10-31,2016-01-31,2020-09-30,2020-10-31,2020-09-30,True,True,139493,13,0.11156312078396927
2021-01-31,2016-01-31,2020-12-31,2021-01-31,2020-12-31,True,True,148456,13,0.14656347610589757
2021-04-30,2016-04-30,2021-03-31,2021-04-30,2021-03-31,True,True,150000,20,0.14203351088526364
2021-07-31,2016-07-31,2021-06-30,2021-07-31,2021-06-30,True,True,150000,3,0.09068637262560286
2021-10-31,2016-10-31,2021-09-30,2021-10-31,2021-09-30,True,True,150000,20,0.10036388835967959
2022-01-31,2017-01-31,2021-12-31,2022-01-31,2021-12-31,True,True,150000,11,0.08901180197842234
2022-04-30,2017-04-30,2022-03-31,2022-04-30,2022-03-31,True,True,150000,9,0.08786501631776511
2022-07-31,2017-07-31,2022-06-30,2022-07-31,2022-06-30,True,True,150000,6,0.10245914349949657
2022-10-31,2017-10-31,2022-09-30,2022-10-31,2022-09-30,True,True,150000,8,0.1279148138053249
2023-01-31,2018-01-31,2022-12-31,2023-01-31,2022-12-31,True,True,150000,20,0.13351227382198766
2023-04-30,2018-04-30,2023-03-31,2023-04-30,2023-03-31,True,True,150000,13,0.143024363420189
2023-07-31,2018-07-31,2023-06-30,2023-07-31,2023-06-30,True,True,150000,9,0.15808646112077648
2023-10-31,2018-10-31,2023-09-30,2023-10-31,2023-09-29,True,True,150000,10,0.1263862131863193
2024-01-31,2019-01-31,2023-12-31,2024-01-31,2023-12-29,True,True,150000,9,0.1166540048166237
2024-04-30,2019-04-30,2024-03-31,2024-04-30,2024-03-31,True,True,150000,14,0.15481110511532356
2024-07-31,2019-07-31,2024-06-30,2024-07-31,2024-06-30,True,True,150000,8,0.13741679675777527
2024-10-31,2019-10-31,2024-09-30,2024-10-31,2024-09-30,True,True,150000,19,0.10529918308859337
2025-01-31,2020-01-31,2024-12-31,2025-01-31,2024-12-31,True,True,150000,19,0.12230493392092598
2025-04-30,2020-04-30,2025-03-31,2025-04-30,2025-03-31,True,True,150000,19,0.10911934643444592
2025-07-31,2020-07-31,2025-06-30,2025-07-31,2025-06-30,True,True,150000,5,0.12252068622572748
2025-10-31,2020-10-31,2025-09-30,2025-10-31,2025-09-30,True,True,150000,4,0.13018221052624465
