signal_model,smoothing_weight,exit_fraction,development_sharpe_50bp,selection_sharpe_50bp,development_annual_return_50bp,selection_annual_return_50bp,development_turnover,selection_turnover,selection_objective,selected
ridge,1.0,0.15,0.3607384111153224,-0.08458088359673997,0.06834872656705948,-0.015567363209240015,0.4266435069591254,0.47466149972066035,0.09061261378722517,False
ridge,1.0,0.2,0.39194106180487354,-0.09821341211725483,0.07377702418487697,-0.018106495345394436,0.342505982073906,0.38552733046397636,0.10831109179741172,False
ridge,1.0,0.25,0.4246288944655256,-0.09479176757429922,0.08010834506240139,-0.017493641301217666,0.2822829849205096,0.323451557383406,0.13257340770727258,False
ridge,0.75,0.15,0.3775174994244638,-0.09737989651247478,0.0709992061468605,-0.01750089787701059,0.3236944220430917,0.3573164805736888,0.10433715339862559,False
ridge,0.75,0.2,0.37611719303286945,-0.08528951372284349,0.07167493763454402,-0.015287697564046021,0.258249721806137,0.28822173949816315,0.11659166570519666,False
ridge,0.75,0.25,0.3580052818865097,-0.05688513358457405,0.06818914985468161,-0.010213759239134035,0.2155997633393418,0.2418941360888842,0.1263706605420794,False
ridge,0.5,0.15,0.3531908699123944,-0.013503539572005138,0.06677723125399271,-0.0023386547795188894,0.2371762494401796,0.25454180769207924,0.1443894844009867,False
ridge,0.5,0.2,0.3642089655703504,-0.034282354746084154,0.06847662507797025,-0.005962676496388597,0.191161766829198,0.20217068555402815,0.1447462368567303,False
ridge,0.5,0.25,0.3545765250202635,-0.050620617802012394,0.06609752505567434,-0.008769597496155801,0.1559961343394431,0.1666786364559892,0.13531008996352664,False
mlp,1.0,0.15,0.5026837146256722,0.05626253471245562,0.0899909143409936,0.01006139605144818,0.3721259145459801,0.49074881601929476,0.2303982430671344,False
mlp,1.0,0.2,0.49327499661783974,0.09282470968895584,0.08720978893042108,0.016468950891549206,0.2994079742798277,0.41752442464484646,0.2512974106889132,False
mlp,1.0,0.25,0.5043558838896026,0.07814197276019097,0.08837682914580358,0.013881231966218488,0.24848409475659178,0.3621613484888013,0.25503279347601665,False
mlp,0.75,0.15,0.521983401706059,0.02573634098858961,0.09155027992730358,0.004551640806276014,0.2790653178477128,0.3793373313744492,0.23592613820987934,False
mlp,0.75,0.2,0.54172757969171,0.04376380310473363,0.09465280892524297,0.007844687577722498,0.22026006048499266,0.32360676358905976,0.2603850150393158,True
mlp,0.75,0.25,0.5268570597141707,0.024228334744855834,0.09104170700340797,0.004297063414870017,0.18450529124841397,0.28240520864818514,0.2473021763646948,False
mlp,0.5,0.15,0.5554781621269619,-0.021948826751371296,0.09494292051303033,-0.003853619726232882,0.204106666409575,0.2854322202396041,0.23822144566383485,False
mlp,0.5,0.2,0.548268980104486,0.0007307153113355478,0.0934310020934559,0.00012704401842045243,0.16003170994050298,0.2356373993420783,0.2509361077737029,False
mlp,0.5,0.25,0.49992060848991077,0.020857462450332327,0.08555169676815155,0.003546540220353389,0.13255770372207032,0.20191123213864526,0.24019791225625703,False
dynamic_blend,1.0,0.15,0.5026837146256722,0.05626253471245562,0.0899909143409936,0.01006139605144818,0.3721259145459801,0.49074881601929476,0.2303982430671344,False
dynamic_blend,1.0,0.2,0.49327499661783974,0.09282470968895584,0.08720978893042108,0.016468950891549206,0.2994079742798277,0.41752442464484646,0.2512974106889132,False
dynamic_blend,1.0,0.25,0.5043558838896026,0.07814197276019097,0.08837682914580358,0.013881231966218488,0.24848409475659178,0.3621613484888013,0.25503279347601665,False
dynamic_blend,0.75,0.15,0.521983401706059,0.02573634098858961,0.09155027992730358,0.004551640806276014,0.2790653178477128,0.3793373313744492,0.23592613820987934,False
dynamic_blend,0.75,0.2,0.54172757969171,0.04376380310473363,0.09465280892524297,0.007844687577722498,0.22026006048499266,0.32360676358905976,0.2603850150393158,False
dynamic_blend,0.75,0.25,0.5268570597141707,0.024228334744855834,0.09104170700340797,0.004297063414870017,0.18450529124841397,0.28240520864818514,0.2473021763646948,False
dynamic_blend,0.5,0.15,0.5554781621269619,-0.021948826751371296,0.09494292051303033,-0.003853619726232882,0.204106666409575,0.2854322202396041,0.23822144566383485,False
dynamic_blend,0.5,0.2,0.548268980104486,0.0007307153113355478,0.0934310020934559,0.00012704401842045243,0.16003170994050298,0.2356373993420783,0.2509361077737029,False
dynamic_blend,0.5,0.25,0.49992060848991077,0.020857462450332327,0.08555169676815155,0.003546540220353389,0.13255770372207032,0.20191123213864526,0.24019791225625703,False
