factor,economic_preference,implemented_transform,mean_ic_formation_2014_2017,positive_month_share_formation_2014_2017,months_formation_2014_2017,mean_ic_out_of_sample_2018_2025,positive_month_share_out_of_sample_2018_2025,months_out_of_sample_2018_2025
long_term_reversal_12_1,lower_raw_better,negative 12-1 return; direction fixed on 2014-2017 formation data,0.020867275649661197,0.5365853658536586,37,0.015509826274504517,0.5157894736842106,95
earnings_yield,higher_raw_better,1 / positive PE,0.09181894079620831,0.6829268292682927,41,0.05895513286466312,0.7052631578947368,95
book_to_market,higher_raw_better,1 / positive PB,0.09183739421396456,0.7804878048780488,41,0.06371726138296407,0.6736842105263158,95
sales_to_price,higher_raw_better,1 / positive PS,0.07398303003604992,0.7073170731707317,41,0.050680139315572324,0.6736842105263158,95
low_volatility,lower_raw_better,negative annualised realised volatility,0.09338695424522696,0.8048780487804879,41,0.09268554172254576,0.8315789473684211,95
large_cap_stability,higher_raw_better,positive log free-float market value; small-cap sign failed formation audit,0.009140723370264281,0.5121951219512195,41,0.005176109027593929,0.45263157894736844,95
short_reversal,lower_raw_better,negative current-month return,0.0843644757038043,0.7560975609756098,41,0.06634834237992879,0.7263157894736842,95
illiquidity_premium,higher_raw_better,positive Amihud-style illiquidity,0.045949756252878775,0.5853658536585366,41,0.041177794820826515,0.6526315789473685,95
roe,higher_raw_better,clean ROE TTM,0.03539715408146019,0.5609756097560976,41,0.021768561811746835,0.5473684210526316,95
roa,higher_raw_better,clean ROA TTM,0.02925726564526797,0.5365853658536586,41,0.022451004211325114,0.5157894736842106,95
gross_margin,higher_raw_better,clean gross margin TTM,0.01310268534912239,0.4878048780487805,41,0.01318097402516353,0.6,95
cash_conversion,higher_raw_better,clean CFO / total profit ratio,0.016626858059573073,0.6829268292682927,41,0.020201608244305547,0.6947368421052632,95
medium_reversal_3m,lower_raw_better,negative three-month compounded return,0.0866111675278846,0.7317073170731707,41,0.06289570033100703,0.7052631578947368,95
medium_reversal_6m,lower_raw_better,negative six-month compounded return,0.05746507240736086,0.7560975609756098,41,0.055603745858880185,0.631578947368421,95
return_stability_6m,lower_raw_better,negative six-month return volatility,0.06087603691021228,0.6829268292682927,41,0.07077045224041136,0.7473684210526316,95
return_stability_12m,lower_raw_better,negative twelve-month return volatility,0.0708525309233471,0.7073170731707317,41,0.07904140374401418,0.7473684210526316,95
downside_stability_12m,lower_raw_better,negative twelve-month downside volatility,0.02321403756867931,0.6097560975609756,41,0.039459949195859705,0.7157894736842105,95
low_turnover,lower_raw_better,negative traded amount / free-float market value,0.09568977097595127,0.7317073170731707,41,0.08982456053504068,0.7368421052631579,95
lottery_avoidance,lower_raw_better,negative maximum daily return,0.09716009630157679,0.9024390243902439,41,0.08455465104939963,0.8105263157894737,95
residual_reversal,lower_raw_better,negative current return scaled by volatility,0.0775383150011989,0.7317073170731707,41,0.055473372951769614,0.7052631578947368,95
profitability_momentum,higher_raw_better,year-over-year ROE and ROA improvement,0.03715119339498416,0.6341463414634146,36,0.01731473100220607,0.6,95
value_composite,higher_score_better,average clean value rank,0.10104654895801099,0.7560975609756098,41,0.06977339259203501,0.7263157894736842,95
quality_composite,higher_score_better,average clean quality rank,0.03294272690942565,0.6097560975609756,41,0.02618636428762136,0.5789473684210527,95
