refit_month,samples,alpha
2018-01-31,50880,10000.0
2018-04-30,58073,10000.0
2018-07-31,65655,1000.0
2018-10-31,73594,1000.0
2019-01-31,81771,1.0
2019-04-30,90070,1.0
2019-07-31,98324,1.0
2019-10-31,106697,1.0
2020-01-31,115092,1000.0
2020-04-30,123653,10000.0
2020-07-31,132287,10000.0
2020-10-31,141188,10000.0
2021-01-31,150176,10000.0
2021-04-30,153502,100.0
2021-07-31,157071,1.0
2021-10-31,160723,1.0
2022-01-31,164616,1.0
2022-04-30,168902,10000.0
2022-07-31,173288,10000.0
2022-10-31,177479,1.0
2023-01-31,181620,1.0
2023-04-30,186068,1.0
2023-07-31,190308,1000.0
2023-10-31,194331,1.0
2024-01-31,198360,1.0
2024-04-30,202543,1.0
2024-07-31,206783,1.0
2024-10-31,210908,10000.0
2025-01-31,215072,10000.0
2025-04-30,219107,10000.0
2025-07-31,222970,10000.0
2025-10-31,226761,10000.0
