signal_month,period,model,decile,return,stocks
2018-01-31,development,ols,1,-0.04409042515848342,206
2018-01-31,development,ols,2,-0.050243700088075,242
2018-01-31,development,ols,3,-0.05293500889841305,239
2018-01-31,development,ols,4,-0.03148734342467767,239
2018-01-31,development,ols,5,-0.06280444934528485,259
2018-01-31,development,ols,6,-0.03760800530235863,223
2018-01-31,development,ols,7,-0.0368307699240695,234
2018-01-31,development,ols,8,-0.03759051265237567,244
2018-01-31,development,ols,9,-0.04921240854466535,237
2018-01-31,development,ols,10,-0.038596679639278014,278
2018-01-31,development,ridge,1,-0.044881912002633834,206
2018-01-31,development,ridge,2,-0.0456406271373612,242
2018-01-31,development,ridge,3,-0.05207803684618051,239
2018-01-31,development,ridge,4,-0.03565748806515608,239
2018-01-31,development,ridge,5,-0.05250244990751465,259
2018-01-31,development,ridge,6,-0.04921795654836514,223
2018-01-31,development,ridge,7,-0.032635853089611006,234
2018-01-31,development,ridge,8,-0.038887700136836664,244
2018-01-31,development,ridge,9,-0.0523742919673709,237
2018-01-31,development,ridge,10,-0.03915055828670111,278
2018-01-31,development,huber,1,-0.04409042515848342,206
2018-01-31,development,huber,2,-0.049495098355019904,242
2018-01-31,development,huber,3,-0.05347896797521408,239
2018-01-31,development,huber,4,-0.03169521314875985,239
2018-01-31,development,huber,5,-0.06291200134249822,259
2018-01-31,development,huber,6,-0.03570372535393849,223
2018-01-31,development,huber,7,-0.038614685737386724,234
2018-01-31,development,huber,8,-0.03706036240855627,244
2018-01-31,development,huber,9,-0.04948638739458984,237
2018-01-31,development,huber,10,-0.03875948672183658,278
2018-01-31,development,tabm_experimental,1,-0.06509586022200589,206
2018-01-31,development,tabm_experimental,2,-0.05091553540488794,242
2018-01-31,development,tabm_experimental,3,-0.053761672855351945,239
2018-01-31,development,tabm_experimental,4,-0.04943870317898143,239
2018-01-31,development,tabm_experimental,5,-0.04887057127532286,259
2018-01-31,development,tabm_experimental,6,-0.030790857716666457,223
2018-01-31,development,tabm_experimental,7,-0.03815088692889366,234
2018-01-31,development,tabm_experimental,8,-0.042186853048933506,244
2018-01-31,development,tabm_experimental,9,-0.036803405886342025,237
2018-01-31,development,tabm_experimental,10,-0.030186485715255795,278
2018-01-31,development,retrieval_experimental,1,-0.050057001339096616,206
2018-01-31,development,retrieval_experimental,2,-0.05157907503155464,242
2018-01-31,development,retrieval_experimental,3,-0.04774484036405965,239
2018-01-31,development,retrieval_experimental,4,-0.051799543173138944,239
2018-01-31,development,retrieval_experimental,5,-0.05046757019038279,259
2018-01-31,development,retrieval_experimental,6,-0.048526879288163134,223
2018-01-31,development,retrieval_experimental,7,-0.03460940210193947,234
2018-01-31,development,retrieval_experimental,8,-0.045980522525056154,244
2018-01-31,development,retrieval_experimental,9,-0.029072735832925186,237
2018-01-31,development,retrieval_experimental,10,-0.034422730023133674,278
2018-02-28,development,ols,1,0.0574223173235352,197
2018-02-28,development,ols,2,0.03967207638170424,226
2018-02-28,development,ols,3,0.04007724052977579,221
2018-02-28,development,ols,4,0.05496766927606918,235
2018-02-28,development,ols,5,0.04450367382059034,238
2018-02-28,development,ols,6,0.03797259420589637,217
2018-02-28,development,ols,7,0.042365366668650296,227
2018-02-28,development,ols,8,0.04373679839874745,229
2018-02-28,development,ols,9,0.03644891252289325,218
2018-02-28,development,ols,10,0.040741802628592415,269
2018-02-28,development,ridge,1,0.06068980920730163,197
2018-02-28,development,ridge,2,0.04210686919862886,226
2018-02-28,development,ridge,3,0.038549954016704586,221
2018-02-28,development,ridge,4,0.05839135131588604,235
2018-02-28,development,ridge,5,0.034814828690997404,238
2018-02-28,development,ridge,6,0.043254429967239494,217
2018-02-28,development,ridge,7,0.04663404317479915,227
2018-02-28,development,ridge,8,0.045144961057588855,229
2018-02-28,development,ridge,9,0.030023232927214275,218
2018-02-28,development,ridge,10,0.039285044558049764,269
2018-02-28,development,huber,1,0.05691349360438185,197
2018-02-28,development,huber,2,0.03819581197802596,226
2018-02-28,development,huber,3,0.044438305508803025,221
2018-02-28,development,huber,4,0.04933123462846426,235
2018-02-28,development,huber,5,0.046211318955312226,238
2018-02-28,development,huber,6,0.03896095634356631,217
2018-02-28,development,huber,7,0.043130770561991466,227
2018-02-28,development,huber,8,0.04362849938594447,229
2018-02-28,development,huber,9,0.03475770579973138,218
2018-02-28,development,huber,10,0.042204566716254756,269
2018-02-28,development,tabm_experimental,1,0.050113855939112974,197
2018-02-28,development,tabm_experimental,2,0.05286506131487707,226
2018-02-28,development,tabm_experimental,3,0.06426685366209936,221
2018-02-28,development,tabm_experimental,4,0.04925029999336504,235
