signal_month,realization_month,period,model,rank_ic,industry_long_short_gross_return,scored_stocks,missing_forward_return_stocks,maximum_training_month,maximum_feature_month,production_candidate
2018-01-31,2018-02-28,development,ols,0.06304614710658589,0.008410941629018832,2401,0,2017-12-31,2018-01-31,False
2018-01-31,2018-02-28,development,ridge,0.05583624725027071,0.009842208844525269,2401,0,2017-12-31,2018-01-31,True
2018-01-31,2018-02-28,development,huber,0.06256938338682765,0.008410941629018832,2401,0,2017-12-31,2018-01-31,False
2018-01-31,2018-02-28,development,tabm_experimental,0.13706886565862206,0.02314784513364325,2401,0,2017-12-31,2018-01-31,False
2018-01-31,2018-02-28,development,retrieval_experimental,0.10348454724649422,0.016678344462066896,2401,0,2017-12-31,2018-01-31,False
2018-02-28,2018-03-31,development,ols,0.003653776684075898,-0.015534534768252105,2277,0,2017-12-31,2018-02-28,False
2018-02-28,2018-03-31,development,ridge,-0.006189580816632253,-0.02450853542402813,2277,0,2017-12-31,2018-02-28,True
2018-02-28,2018-03-31,development,huber,0.004978885754358253,-0.014667669132010432,2277,0,2017-12-31,2018-02-28,False
2018-02-28,2018-03-31,development,tabm_experimental,-0.10599960889161977,-0.0266061527987184,2277,0,2017-12-31,2018-02-28,False
2018-02-28,2018-03-31,development,retrieval_experimental,-0.1835145382251291,-0.04899619924051151,2277,0,2017-12-31,2018-02-28,False
2018-03-31,2018-04-30,development,ols,0.16384992133133813,0.06583403110749514,2406,0,2017-12-31,2018-03-31,False
2018-03-31,2018-04-30,development,ridge,0.15893200074008715,0.0647145172731997,2406,0,2017-12-31,2018-03-31,True
2018-03-31,2018-04-30,development,huber,0.16335841816087165,0.0655444697022998,2406,0,2017-12-31,2018-03-31,False
2018-03-31,2018-04-30,development,tabm_experimental,0.057666326064035066,0.006243892373283754,2406,0,2017-12-31,2018-03-31,False
2018-03-31,2018-04-30,development,retrieval_experimental,0.07851695933987188,0.03642749899491953,2406,0,2017-12-31,2018-03-31,False
2018-04-30,2018-05-31,development,ols,0.10011908501177672,0.009456920891540124,2434,0,2018-03-31,2018-04-30,False
