period,signal,mean_monthly_rank_ic,annualized_icir,positive_ic_month_share,months
development,ridge,0.1060615133953605,2.9955737918641767,0.8541666666666666,48
development,mlp,0.10821528651912164,3.0896824591517733,0.8541666666666666,48
development,dynamic_blend,0.11045884684773932,3.082664805746721,0.8333333333333334,48
development,selected_smoothed,0.10858753921486393,3.0280039545802966,0.8958333333333334,48
selection,ridge,0.1330079348579325,4.3914265747176495,0.9166666666666666,24
selection,mlp,0.13083986760149,4.6790229860452905,1.0,24
selection,dynamic_blend,0.13477312044916537,4.445181552253505,0.9166666666666666,24
selection,selected_smoothed,0.13427423469613287,4.530313512469845,0.9583333333333334,24
retrospective_test,ridge,0.10635738865230239,2.5117694425377413,0.782608695652174,23
retrospective_test,mlp,0.1089879330334804,2.5820654524847306,0.782608695652174,23
retrospective_test,dynamic_blend,0.11014009844670966,2.58586017679459,0.782608695652174,23
retrospective_test,selected_smoothed,0.10619710043545785,2.4178304191518696,0.782608695652174,23
full,ridge,0.11294066335337515,3.1538850652214068,0.8526315789473684,95
full,mlp,0.11411803194866997,3.254357096063144,0.8736842105263158,95
full,dynamic_blend,0.11652422951311343,3.230591848854438,0.8421052631578947,95
full,selected_smoothed,0.1144980718424862,3.150645781628328,0.8842105263157894,95
