period,decile,forward_return,decile_monotonicity
development,1,-0.012758181470382934,0.9515151515151515
development,2,2.337322827226437e-05,0.9515151515151515
development,3,0.00320564323322726,0.9515151515151515
development,4,0.005823161526181327,0.9515151515151515
development,5,0.007603414786996281,0.9515151515151515
development,6,0.00838124341238474,0.9515151515151515
development,7,0.007885783843116072,0.9515151515151515
development,8,0.007926346752737625,0.9515151515151515
development,9,0.01037305501454198,0.9515151515151515
development,10,0.008710970252451584,0.9515151515151515
selection,1,-0.02139422972542973,0.9636363636363636
selection,2,-0.013241856303085638,0.9636363636363636
selection,3,-0.010288254030108294,0.9636363636363636
selection,4,-0.008093258201339904,0.9636363636363636
selection,5,-0.004278494082959242,0.9636363636363636
selection,6,-0.0044382419593351746,0.9636363636363636
selection,7,-0.004375645016942298,0.9636363636363636
selection,8,-0.0002702407095616216,0.9636363636363636
selection,9,0.0006658356177858434,0.9636363636363636
selection,10,0.0034017187686667095,0.9636363636363636
retrospective_test,1,0.018135929677704533,0.4303030303030303
retrospective_test,2,0.020644423008378602,0.4303030303030303
retrospective_test,3,0.020815395603977594,0.4303030303030303
retrospective_test,4,0.026826565516939085,0.4303030303030303
retrospective_test,5,0.02779028317475173,0.4303030303030303
retrospective_test,6,0.02665502630535543,0.4303030303030303
retrospective_test,7,0.026956644053538047,0.4303030303030303
retrospective_test,8,0.0260678694860369,0.4303030303030303
retrospective_test,9,0.02671338340130169,0.4303030303030303
retrospective_test,10,0.025773190521863554,0.4303030303030303
full,1,-0.007460293067384107,0.9515151515151515
full,2,0.0016646220302707492,0.9515151515151515
full,3,0.0040600723933030955,0.9515151515151515
full,4,0.007392469087517315,0.9515151515151515
full,5,0.009489016471621994,0.9515151515151515
full,6,0.009566815597827348,0.9515151515151515
full,7,0.00940531533994033,0.9515151515151515
full,8,0.010247788055587114,0.9515151515151515
full,9,0.011876784355313834,0.9515151515151515
full,10,0.011500538995458304,0.9515151515151515
