refit_month,history_start,history_end,max_label_realization_month,future_leakage_pass,samples,epochs,mlp_validation_ic_raw,monthly_validation_ic,mlp_weight
2018-01-31,2016-01-31,2017-12-31,2018-01-31,True,49708,14,0.1831071382387054,0.1742195723809478,0.75
2018-04-30,2016-01-31,2018-03-31,2018-04-30,True,56788,20,0.145520892743224,0.146078595921143,0.75
2018-07-31,2016-01-31,2018-06-30,2018-07-31,True,64246,14,0.1408468683763361,0.1373033970486567,0.75
2018-10-31,2016-01-31,2018-09-30,2018-10-31,True,72127,18,0.1465700994182594,0.1452770726919517,0.75
2019-01-31,2016-01-31,2018-12-31,2019-01-31,True,80245,14,0.1224847023535244,0.1241401330349835,0.25
2019-04-30,2016-01-31,2019-03-31,2019-04-30,True,88514,16,0.1176667934973404,0.1214209857273108,0.25
2019-07-31,2016-01-31,2019-06-30,2019-07-31,True,96738,14,0.1287774938132814,0.1308145748777369,0.25
2019-10-31,2016-01-31,2019-09-30,2019-10-31,True,105090,20,0.12973948153304,0.1312185942113897,0.5
2020-01-31,2016-01-31,2019-12-31,2020-01-31,True,113461,18,0.1041685933786991,0.1060055846787055,0.5
2020-04-30,2016-01-31,2020-03-31,2020-04-30,True,122004,9,0.1212286355769691,0.1215352700899887,0.75
2020-07-31,2016-01-31,2020-06-30,2020-07-31,True,130615,11,0.1064324627845016,0.1042287596730843,0.75
2020-10-31,2016-01-31,2020-09-30,2020-10-31,True,139493,16,0.1061226642027732,0.104900609291609,0.75
2021-01-31,2016-01-31,2020-12-31,2021-01-31,True,148456,13,0.1257459923127306,0.122042850603618,0.75
2021-04-30,2016-04-30,2021-03-31,2021-04-30,True,150000,14,0.1295843807137195,0.1305210326342708,0.75
2021-07-31,2016-07-31,2021-06-30,2021-07-31,True,150000,8,0.0795113256287031,0.0833308395887143,0.5
2021-10-31,2016-10-31,2021-09-30,2021-10-31,True,150000,13,0.0971260595789858,0.1012759724521772,0.25
2022-01-31,2017-01-31,2021-12-31,2022-01-31,True,150000,5,0.084013183624806,0.0893026329432587,0.0
2022-04-30,2017-04-30,2022-03-31,2022-04-30,True,150000,11,0.0876511553620464,0.0832492800621017,0.5
2022-07-31,2017-07-31,2022-06-30,2022-07-31,True,150000,5,0.1005157999124742,0.1075742533957059,0.0
2022-10-31,2017-10-31,2022-09-30,2022-10-31,True,150000,8,0.122968431378125,0.1263118330534575,0.5
2023-01-31,2018-01-31,2022-12-31,2023-01-31,True,150000,5,0.1258972827851769,0.128006048805044,0.5
2023-04-30,2018-04-30,2023-03-31,2023-04-30,True,150000,11,0.1357344675005737,0.1419311717994393,0.25
2023-07-31,2018-07-31,2023-06-30,2023-07-31,True,150000,19,0.169160194331306,0.1742314274310402,0.5
2023-10-31,2018-10-31,2023-09-30,2023-10-31,True,150000,6,0.1329717972734858,0.1444920052676192,0.25
2024-01-31,2019-01-31,2023-12-31,2024-01-31,True,150000,14,0.1447316954121629,0.1478232458484804,0.5
2024-04-30,2019-04-30,2024-03-31,2024-04-30,True,150000,13,0.1626670928025838,0.1625352566515244,0.5
2024-07-31,2019-07-31,2024-06-30,2024-07-31,True,150000,13,0.1435066853192809,0.1425940977094681,0.25
2024-10-31,2019-10-31,2024-09-30,2024-10-31,True,150000,14,0.1093215917316697,0.1098247217384552,0.5
2025-01-31,2020-01-31,2024-12-31,2025-01-31,True,150000,19,0.1197955166745409,0.1195303207923488,0.75
2025-04-30,2020-04-30,2025-03-31,2025-04-30,True,150000,9,0.1110598205245107,0.1093751791614649,0.75
2025-07-31,2020-07-31,2025-06-30,2025-07-31,True,150000,6,0.1167660186301551,0.1142702327514552,0.75
2025-10-31,2020-10-31,2025-09-30,2025-10-31,True,150000,18,0.1433742824642861,0.1431748209000564,0.75
