signal_model,smoothing_weight,exit_fraction,development_sharpe_50bp,selection_sharpe_50bp,development_annual_return_50bp,selection_annual_return_50bp,development_turnover,selection_turnover,selection_objective,selected
ridge,1.0,0.15,0.36031225775839926,0.03779870098646557,0.07033135176545446,0.006813886213490328,0.47000644177083367,0.4960693076226315,0.14944854861016924,False
ridge,1.0,0.2,0.3568545618559424,0.09066683775731803,0.06924630028918521,0.016138387252766284,0.38028420393694856,0.4038800636941608,0.18337269343721413,False
ridge,1.0,0.25,0.36618233936875216,0.10892516299846519,0.07031533601784035,0.019264798844527142,0.31672112320049967,0.34523359098568734,0.20303039208503992,False
ridge,0.75,0.15,0.3965461060277664,0.09532296238740831,0.07667579825873383,0.016403230635709587,0.3583841296120406,0.3680405542526719,0.2091304787823202,False
ridge,0.75,0.2,0.350679771295634,0.1894152958307336,0.0671676518597688,0.03192896350730012,0.28949473919194507,0.3038323365564554,0.23966429990753824,False
ridge,0.75,0.25,0.37534200805183643,0.1685601820407568,0.07041948592294611,0.027926300034117446,0.24282542878452051,0.2547102962249399,0.24648006542380263,False
ridge,0.5,0.15,0.36214581229233594,0.18749583131492542,0.06812031798251739,0.0310114420148091,0.2653592129623376,0.2692457376862973,0.24789624803500093,False
ridge,0.5,0.2,0.38420932422187404,0.16967751663481256,0.07194422029381786,0.02762961269835773,0.21494036426051336,0.21582682861925337,0.255360737566418,False
ridge,0.5,0.25,0.3756524866265593,0.15855239380629413,0.07001571757352387,0.02560583005642547,0.18359355827705198,0.1803246845125365,0.24906997176517306,False
mlp,1.0,0.15,0.5154904397550255,0.1964866461990965,0.09382535121474866,0.03573249832448577,0.3275470846473975,0.49681815920706063,0.3063067270563549,False
mlp,1.0,0.2,0.5514542240033724,0.2152113503261885,0.09976595088251194,0.038957027536667965,0.2507542590680006,0.4275560969597357,0.3405771774688069,False
mlp,1.0,0.25,0.5616446549769275,0.18095325036130883,0.09973061730576038,0.032407190740096015,0.20901889801635873,0.37592868605338686,0.3337060840637795,False
mlp,0.75,0.15,0.5296053411014565,0.19807194577530418,0.09357113896896418,0.03497828339733,0.2401007173052392,0.38282031499585556,0.3255566119387948,False
mlp,0.75,0.2,0.5501532273338883,0.2360975308282516,0.09707285861851744,0.04092203224152291,0.18856256494067303,0.32723235681504714,0.3604021433995652,True
mlp,0.75,0.25,0.5176929242601082,0.21302557767884875,0.09067566554674622,0.03659543902771811,0.15261499238891224,0.28456374169364945,0.33690287680011355,False
mlp,0.5,0.15,0.4974830440162468,0.18306846882555983,0.08720678975161444,0.03122634315814654,0.1763832130295078,0.28758331607251864,0.31151742481365147,False
mlp,0.5,0.2,0.5225825495199277,0.21347088030476902,0.091269653957468,0.035996064596652166,0.14240503579848432,0.24257741626964044,0.3437689732853843,False
mlp,0.5,0.25,0.46520852725822937,0.1976045285611137,0.08239582480580165,0.032832559455884924,0.11844724520054914,0.2135437546222305,0.31005215244744844,False
dynamic_blend,1.0,0.15,0.37999732118287893,0.08185318959922717,0.07102557011156208,0.014539751334412987,0.39962354583109116,0.4881719375613272,0.18210806163492033,False
dynamic_blend,1.0,0.2,0.4347998832911662,0.1019836796753447,0.07971412261524269,0.017869197127151848,0.3152213868993231,0.40664777041628913,0.22772700444162652,False
dynamic_blend,1.0,0.25,0.42515311006527085,0.15212752997380655,0.07745617593523524,0.026590579677169934,0.25754962168395,0.34445204146049796,0.2541951158734889,False
dynamic_blend,0.75,0.15,0.4293218478162071,0.10797220801046337,0.07865431886249286,0.01839935506471746,0.29929546278270863,0.36683537973177294,0.23196348994015792,False
dynamic_blend,0.75,0.2,0.4051988010425212,0.1293428698172693,0.07298149584285496,0.021543011747487295,0.23408490012820793,0.2999262730699708,0.23727820812289818,False
dynamic_blend,0.75,0.25,0.41385370406315397,0.15172230517272747,0.07310480920115592,0.02503722907116912,0.19494992102061473,0.25880465154146726,0.256907539463794,False
dynamic_blend,0.5,0.15,0.3684239725193764,0.2156234800747832,0.06469392955823583,0.035058112829913446,0.21845728833427436,0.2710089411762515,0.26492283217945467,False
dynamic_blend,0.5,0.2,0.39232459669739145,0.18134041835353057,0.06785088682084561,0.029391299562858686,0.17716713895208847,0.21743739679405594,0.26508876784605545,False
dynamic_blend,0.5,0.25,0.40712539963402283,0.17069937750339154,0.07091052983320023,0.02760672587945856,0.14912660518067847,0.1802930791566004,0.2708830806530471,False
