signal_month,return_column,observations,design_columns,condition_number,intercept,beta_log_size,beta_market,beta_volatility,beta_liquidity,residual_mean,residual_std,regression_valid
2014-01-31,forward_return_1m,2444,84,995682721984.7006,0.07210106675000479,-0.0031928719147815226,0.0,0.01941475095387334,-0.030135756641893975,1.3082824512767802e-17,0.11691453978051007,True
2014-02-28,forward_return_1m,2430,84,990082439540.2495,-0.028274780060034498,0.013376765499022482,0.0,-0.015272217070511816,-0.036015641235353155,1.023415463028951e-17,0.09806208825992586,True
2014-03-31,forward_return_1m,2429,84,989712824884.2335,0.0018010749316533247,-0.002886679750171311,0.0,-0.0003725151716341326,-0.013109559539288784,4.022215980527533e-18,0.10073835812176939,True
2014-04-30,forward_return_1m,2405,84,979735466216.538,0.04512139608567058,-0.023582103489336363,0.0,0.0038494481027031755,0.0013131029458015582,3.471466588432922e-17,0.11467187697733407,True
2014-05-31,forward_return_1m,2375,83,967474955443.6677,-0.007002427631499336,-0.029923057029614446,0.0,-0.006496068974799369,0.006693766243050906,3.833191074495277e-17,0.10189190665036485,True
2014-06-30,forward_return_1m,2388,84,972909784888.3284,0.08664931196452068,0.0046689862011829505,0.0,-0.017512702798433435,-0.016271198647119362,5.355849767035931e-17,0.1152052694802364,True
2014-07-31,forward_return_1m,2398,83,976921623719.9954,0.0589064905674131,-0.015586995132243979,0.0,-0.0011643749308876505,-0.019718350231049345,-2.5741618085554087e-17,0.1055807517646761,True
2014-08-31,forward_return_1m,2405,83,389421829948.36304,0.26838816978806107,-0.021594827388209,0.004206382049442921,0.006251616501377871,-0.022559043721289675,5.687296325730532e-17,0.10719545511742898,True
2014-09-30,forward_return_1m,2433,83,394819549553.4235,-0.07405319726054087,-0.005576985416240217,-0.00021900102157769132,-0.002711977082410609,-0.010994505189581755,-1.5514830594843948e-18,0.13074203753829777,True
2014-10-31,forward_return_1m,2402,82,402741314796.9563,0.09006152781196669,0.015163466832533447,-0.0010269045962835904,0.0123423250858228,-0.03416316939532618,1.257205090333233e-17,0.14889095153945087,True
2014-11-30,forward_return_1m,2411,84,420270966717.75507,-0.09913209693997833,0.06869832174541868,-0.0015149409743165716,-0.014324748759976075,0.003781613831744067,-2.873410067880953e-17,0.17114507023243675,True
2014-12-31,forward_return_1m,2455,84,520510642397.1792,0.10782359620746483,0.015029536073519704,0.017286434862212097,0.006554140919945708,-0.04310703878311629,-9.840510393418902e-17,0.16922913391813013,True
2015-01-31,forward_return_1m,2459,83,504323907818.7006,-0.004203303575801243,0.005496253916345185,0.010705940412776976,0.019000841838633816,-0.03127016623539863,3.2868741843314924e-17,0.1776997086935043,True
2015-02-28,forward_return_1m,2445,82,471812834423.69226,0.23320187901198253,-0.020016220654164567,0.0007528024154121487,0.030251020485736954,-0.022444934886449327,2.7607999957958903e-17,0.1734625423936001,True
2015-03-31,forward_return_1m,2490,82,488398383809.60846,0.20992497222676376,0.05250526918168395,-0.007887585092081342,0.028651098065705042,-0.08538089741510471,4.744085534944444e-17,0.1973774630714224,True
