excluded_industry,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,calculation
A01,0.09057159127611847,0.190197568029683,0.47619742047376495,-0.32426889869054987,0.9722308435153635,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
A02,0.08974684338037964,0.19007615594390667,0.4721625547123586,-0.3243793944234885,0.9605775299511223,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
A03,0.09055603985677485,0.18998261793755522,0.47665434259117023,-0.3241993037358246,0.9720105513526951,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
A04,0.09036191791073422,0.19002669981449422,0.47552221871424566,-0.32435502605227706,0.9692625409365796,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
A05,0.08767879280608604,0.19172412531650584,0.4573174745814716,-0.3231293414893297,0.93162066798177,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
B06,0.08806727529083536,0.19058032820799417,0.46210055423307456,-0.3243678106758605,0.937031564840848,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
B07,0.09005441180346008,0.19093513853499505,0.4716492338415471,-0.324258782816055,0.9649162894668484,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
B08,0.09140124245582015,0.1897882794279543,0.4815958220987881,-0.32601184958453255,0.9840143552985423,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
B09,0.08745881583220161,0.1888156371719331,0.4631968895275487,-0.32518391125755697,0.9285626155330544,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
B10,0.08625235396722752,0.1898790402248584,0.4542489464086496,-0.32663078100546694,0.9118657348145458,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
B11,0.08972806606298556,0.19026946431185005,0.4715841629528216,-0.3244846495513638,0.9603129158472736,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C13,0.09014789657511524,0.19009026135763502,0.4742373224765648,-0.324942563539829,0.966236704968038,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
C14,0.0892819354799057,0.19030175273775374,0.4691598169510352,-0.3256108571668547,0.9540351017787347,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
