target_type,model,ridge_alpha,selection_mean_rank_ic,uses_retrospective_test,selection_samples,selected,comparison_scope,period,mean_rank_ic_vs_original_1m,annualized_icir_vs_original_1m,mean_rank_ic_vs_own_target,positive_original_ic_month_share,decile_monotonicity_vs_next_1m_return
original_1m,ridge,10.0,0.14412868028442039,False,90661.0,True,selection_alpha_and_model_choice,selection,,,,,
original_1m,ridge,100.0,0.14411411165216095,False,90661.0,False,selection_alpha_and_model_choice,selection,,,,,
original_1m,ridge,1000.0,0.14387555868235968,False,90661.0,False,selection_alpha_and_model_choice,selection,,,,,
original_1m,ridge,10000.0,0.14178226663947105,False,90661.0,False,selection_alpha_and_model_choice,selection,,,,,
original_1m,ols,,0.14412860196140623,False,90661.0,False,selection_alpha_and_model_choice,selection,,,,,
original_1m,huber,,0.14410695151449246,False,90661.0,False,selection_alpha_and_model_choice,selection,,,,,
residual_1m,ridge,10.0,0.06653937237615307,False,90661.0,True,selection_alpha_and_model_choice,selection,,,,,
residual_1m,ridge,100.0,0.0664810802177603,False,90661.0,False,selection_alpha_and_model_choice,selection,,,,,
residual_1m,ridge,1000.0,0.06595270473707496,False,90661.0,False,selection_alpha_and_model_choice,selection,,,,,
residual_1m,ridge,10000.0,0.06327095512213517,False,90661.0,False,selection_alpha_and_model_choice,selection,,,,,
residual_1m,ols,,0.06654594093882844,False,90661.0,False,selection_alpha_and_model_choice,selection,,,,,
residual_1m,huber,,0.06641880154249044,False,90661.0,False,selection_alpha_and_model_choice,selection,,,,,
residual_3m,ridge,10.0,0.10377577433189857,False,90642.0,False,selection_alpha_and_model_choice,selection,,,,,
residual_3m,ridge,100.0,0.10384964962382777,False,90642.0,False,selection_alpha_and_model_choice,selection,,,,,
residual_3m,ridge,1000.0,0.1041881772055952,False,90642.0,True,selection_alpha_and_model_choice,selection,,,,,
residual_3m,ridge,10000.0,0.10322787087126535,False,90642.0,False,selection_alpha_and_model_choice,selection,,,,,
residual_3m,ols,,0.10376768601992599,False,90642.0,False,selection_alpha_and_model_choice,selection,,,,,
residual_3m,huber,,0.10373374755340407,False,90642.0,False,selection_alpha_and_model_choice,selection,,,,,
original_1m,ridge,,,False,,,frozen_walk_forward,development,0.11619450629367027,3.3793133225052516,0.11619450629367027,0.875,0.9151515151515152
original_1m,ridge,,,False,,,frozen_walk_forward,retrospective_test,0.10972003731548104,2.344842609312999,0.10972003731548104,0.8260869565217391,0.2727272727272727
original_1m,ridge,,,False,,,frozen_walk_forward,selection,0.14114935169470447,4.132260883680521,0.14114935169470447,0.875,0.9999999999999999
residual_1m,ridge,,,False,,,frozen_walk_forward,development,0.018558994232455515,0.8375810020225686,0.05896612502590329,0.6041666666666666,0.05454545454545454
residual_1m,ridge,,,False,,,frozen_walk_forward,retrospective_test,0.09036511305975116,1.9505636033209908,0.08065233164279736,0.782608695652174,0.04242424242424241
residual_1m,ridge,,,False,,,frozen_walk_forward,selection,0.06632348919217135,2.477504989364843,0.0695776672282886,0.8333333333333334,0.8787878787878788
residual_3m,ridge,,,False,,,frozen_walk_forward,development,0.05206061245237814,2.0220427315307545,0.07088302765615108,0.6458333333333334,0.709090909090909
residual_3m,ridge,,,False,,,frozen_walk_forward,retrospective_test,0.07319976207073184,1.5013433624238732,0.08575211255907095,0.6521739130434783,0.22424242424242422
residual_3m,ridge,,,False,,,frozen_walk_forward,selection,0.09477266281892038,3.5814640425019504,0.10530588904563391,0.8333333333333334,0.9757575757575757
fixed_combined,ridge,,,False,,,frozen_walk_forward,development,0.03591266694426693,1.5155656192815252,0.06376670469117819,0.6458333333333334,0.4666666666666666
fixed_combined,ridge,,,False,,,frozen_walk_forward,retrospective_test,0.08289073893086867,1.7324619389205183,0.07769183325870652,0.6521739130434783,-0.01818181818181818
fixed_combined,ridge,,,False,,,frozen_walk_forward,selection,0.08505187607196041,3.265904599501522,0.08016594534382522,0.7916666666666666,0.9757575757575757
