test,period,cost_bps,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,average_turnover,average_invested_weight
cost_and_subperiod,all,0,0.08976791993066668,0.19009404917504136,0.4722289851798942,-0.32437939442348773,0.9608745824680722,94,0.197669963865263,1.0
cost_and_subperiod,all,20,0.08461971604898566,0.19016271012607824,0.44498585444476796,-0.32738854441425547,0.8894716289290998,94,0.197669963865263,1.0
cost_and_subperiod,all,50,0.07693837805675297,0.1902692777440709,0.4043657440075109,-0.3318797656451571,0.7871528112974766,94,0.197669963865263,1.0
cost_and_subperiod,all,100,0.06424469710429515,0.1904564089853559,0.3373196914010643,-0.33930547714929515,0.6286397977190241,94,0.197669963865263,1.0
cost_and_subperiod,all,150,0.051685574633939524,0.19065540785092702,0.2710941966794477,-0.346657187131748,0.48401975799546926,94,0.197669963865263,1.0
cost_and_subperiod,all,200,0.039259719332761955,0.1908662372209106,0.2056923209908641,-0.3539355487291491,0.3520894035869686,94,0.197669963865263,1.0
cost_and_subperiod,development,0,0.03937285326699125,0.20642961309002464,0.19073258278026523,-0.32437939442348773,0.16703929228751746,48,0.20939384989699014,1.0
cost_and_subperiod,development,20,0.03414204957497846,0.2065664110288937,0.16528364609192348,-0.32738854441425547,0.14372282915963375,48,0.20939384989699014,1.0
cost_and_subperiod,development,50,0.026339620034822042,0.20677769235190313,0.12738134242254792,-0.3318797656451571,0.10959471010636523,48,0.20939384989699014,1.0
cost_and_subperiod,development,100,0.01345152620615897,0.20714599735619124,0.06493741794599502,-0.33930547714929515,0.0549015347768671,48,0.20939384989699014,1.0
cost_and_subperiod,development,150,0.0007071166346110935,0.2075344204208929,0.003407225814286692,-0.346657187131748,0.0028314680365764122,48,0.20939384989699014,1.0
cost_and_subperiod,development,200,-0.01189505088725562,0.20794284880854294,-0.05720346217920495,-0.3539355487291491,-0.04673796234467831,48,0.20939384989699014,1.0
cost_and_subperiod,selection,0,0.020496454189677937,0.16372435713710318,0.1251887901597571,-0.1465798341929344,0.03965371182118216,23,0.18539207270872718,1.0
cost_and_subperiod,selection,20,0.01596241541189891,0.16371017222267023,0.09750411471186804,-0.1481064860358111,0.0308183643030866,23,0.18539207270872718,1.0
cost_and_subperiod,selection,50,0.009195921263323248,0.16368918078643394,0.05617916357783726,-0.15039239829791418,0.017699784800753182,23,0.18539207270872718,1.0
cost_and_subperiod,selection,100,-0.0019899649633092764,0.16365495787848458,-0.012159515294286685,-0.15419142984799783,-0.003810620605264603,23,0.18539207270872718,1.0
cost_and_subperiod,selection,150,-0.013062261314848,0.16362168901151786,-0.07983208946051465,-0.1579769646507153,-0.024886058998164207,23,0.18539207270872718,1.0
cost_and_subperiod,selection,200,-0.02402201585266517,0.16358937476759836,-0.1468433746799987,-0.1617490384507695,-0.04553492780448043,23,0.18539207270872718,1.0
cost_and_subperiod,retrospective_test,0,0.28460584608795614,0.1782891532958976,1.5963161012695486,-0.09886247773156764,0.6161275375524655,23,0.18601443596239167,1.0
cost_and_subperiod,retrospective_test,20,0.27900342348288154,0.17824783369803598,1.5652556201918977,-0.10011055517031764,0.6026453888261565,23,0.18601443596239167,1.0
cost_and_subperiod,retrospective_test,50,0.27064171902643697,0.17818612037917902,1.5188709336648274,-0.1019802417893495,0.5826235662087798,23,0.18601443596239167,1.0
cost_and_subperiod,retrospective_test,100,0.2568166817860067,0.1780839752074679,1.4421100016821566,-0.105089914853848,0.5497841380049535,23,0.18601443596239167,1.0
cost_and_subperiod,retrospective_test,150,0.2431294754098947,0.17798271930920814,1.3660285467799127,-0.10819151092411394,0.517596667802454,23,0.18601443596239167,1.0
cost_and_subperiod,retrospective_test,200,0.229578851193027,0.17788235420300214,1.2906218394828979,-0.11128504398708838,0.486048797509228,23,0.18601443596239167,1.0
