period,series,cost_bps,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,avg_turnover
development,staggered_hybrid_long_only,20,0.062414797419618306,0.1899563209817955,0.32857446963083603,-0.24787171409989361,0.2740205811246528,48,0.15412166306914885
development,staggered_hybrid_industry_neutral_diagnostic,20,0.15110783134892425,0.11546623610012595,1.30867547477595,-0.09645643094599221,0.7557554868154994,48,0.36709206515660336
development,staggered_hybrid_long_only,50,0.05652586952856442,0.19011114014729052,0.297330653452346,-0.25026537587900055,0.24600717074427614,48,0.15412166306914885
development,staggered_hybrid_industry_neutral_diagnostic,50,0.1361245509472886,0.11571580904273043,1.1763695217912862,-0.09871174456954324,0.6661104146177832,48,0.36709206515660336
development,staggered_hybrid_long_only,100,0.04677300232233894,0.19038915141087673,0.24567052258875108,-0.25424032120812945,0.20063238161879937,48,0.15412166306914885
development,staggered_hybrid_industry_neutral_diagnostic,100,0.11153275958834041,0.1162585392921896,0.9593511174953608,-0.1024643384076479,0.526472791927437,48,0.36709206515660336
selection,staggered_hybrid_long_only,20,-0.01153274969619733,0.1615914567793229,-0.07136979841667626,-0.14663209959113632,-0.022932495076839587,24,0.15000000017348153
selection,staggered_hybrid_industry_neutral_diagnostic,20,0.23639324485191193,0.13261607661989142,1.782538368477527,-0.04448812472415309,0.5286682559154396,24,0.37306318773197283
selection,staggered_hybrid_long_only,50,-0.016868145352235464,0.16159145677891357,-0.10438760617966424,-0.14899713351441857,-0.03345175637684683,24,0.15000000017348153
selection,staggered_hybrid_industry_neutral_diagnostic,50,0.2201781184751037,0.13254547311585577,1.6611515527403167,-0.04711982844533902,0.4888346408054445,24,0.37306318773197283
selection,staggered_hybrid_long_only,100,-0.02570185160716909,0.16159145677823136,-0.1590545200817293,-0.15292672230752624,-0.05074311803830134,24,0.15000000017348153
selection,staggered_hybrid_industry_neutral_diagnostic,100,0.1935851245018907,0.1324303246722,1.461788491276941,-0.05149534024493185,0.42464544943219407,24,0.37306318773197283
retrospective_test,staggered_hybrid_long_only,20,0.26470717484859385,0.17250689808509412,1.5344729850630043,-0.09543659722097808,0.5684865523099898,23,0.14057267115595856
retrospective_test,staggered_hybrid_industry_neutral_diagnostic,20,-0.009704432051741207,0.1940246638469672,-0.05001648686991346,-0.224250576216091,-0.018517408070785835,23,0.3072796538423842
retrospective_test,staggered_hybrid_long_only,50,0.2584428837977104,0.17248351867521358,1.498362775659501,-0.09710548752842885,0.553629859480429,23,0.14057267115595856
retrospective_test,staggered_hybrid_industry_neutral_diagnostic,50,-0.020637935611354186,0.194058581668947,-0.10634899747212077,-0.23241389767818132,-0.0391816648051021,23,0.3072796538423842
retrospective_test,staggered_hybrid_long_only,100,0.24806549764536978,0.17244488052230014,1.4385205109831636,-0.09988183931757633,0.5291671978708374,23,0.14057267115595856
retrospective_test,staggered_hybrid_industry_neutral_diagnostic,100,-0.038616052637016396,0.19412146069864042,-0.19892727212147365,-0.24584576548573345,-0.07270270342217167,23,0.3072796538423842
