refit_month,history_start,history_end,history_samples,ridge_alpha,validation_ic,alpha_intercept,alpha_beta,maximum_feature_month
2018-01-31,2014-08-31,2017-12-31,80525,10000.0,0.04007255420488048,5.320897354204864e-05,0.021896483672243228,2017-12-31
2018-04-30,2014-08-31,2018-03-31,87609,10000.0,0.0732401575278835,3.879783487677268e-05,0.07677672261815656,2018-03-31
2018-07-31,2014-08-31,2018-06-30,95095,10.0,0.09981591185711382,-0.0005447619068429899,0.1090339740604331,2018-06-30
2018-10-31,2014-08-31,2018-09-30,102986,10.0,0.09770820886566528,-0.00028004621722852764,0.11942256745046802,2018-09-30
2019-01-31,2014-08-31,2018-12-31,111133,10.0,0.1337525128520737,-0.0006157169487089821,0.16960418418758827,2018-12-31
2019-04-30,2014-08-31,2019-03-31,119408,10000.0,0.13636176679337636,-0.0005574998069358715,0.17804820187230982,2019-03-31
2019-07-31,2014-08-31,2019-06-30,127644,10000.0,0.1475830390543139,-0.000626255734632203,0.19573077342451936,2019-06-30
2019-10-31,2014-08-31,2019-09-30,135979,10000.0,0.13468235521556418,-0.0004350440493546974,0.1573998535592341,2019-09-30
2020-01-31,2014-08-31,2019-12-31,144341,10000.0,0.10402252921258054,-0.0001569400357754294,0.0756490800910518,2019-12-31
2020-04-30,2014-08-31,2020-03-31,152838,10.0,0.10337797979967868,-0.0003084448329596467,0.08894836078979926,2020-03-31
2020-07-31,2014-08-31,2020-06-30,161391,10.0,0.07882560862812275,-0.0001193037167572433,0.04475785505387298,2020-06-30
2020-10-31,2014-08-31,2020-09-30,170246,10.0,0.09052481933308437,-0.00024542551367112806,0.0775611833151559,2020-09-30
2021-01-31,2014-08-31,2020-12-31,179175,10.0,0.10098427190032162,-0.00039843946716628596,0.10765368076469907,2020-12-31
2021-04-30,2014-08-31,2021-03-31,188298,10.0,0.12777876852559986,-0.0006772700109464477,0.17055035099906776,2021-03-31
2021-07-31,2014-08-31,2021-06-30,197663,10.0,0.09237023696370356,-0.0001855005503864286,0.04197643554957718,2021-06-30
2021-10-31,2014-10-31,2021-09-30,204102,10000.0,0.1042872056594266,-0.0004029122230193996,0.08412908058380539,2021-09-30
2022-01-31,2015-01-31,2021-12-31,208859,1000.0,0.12255675635304901,-0.0006497941543951245,0.14222706324975098,2021-12-31
2022-04-30,2015-04-30,2022-03-31,213949,1000.0,0.09736380936649448,-0.00042392844782340093,0.09973599956382194,2022-03-31
2022-07-31,2015-07-31,2022-06-30,219189,1000.0,0.12574629205277416,-0.0008987034968022385,0.20668286533988217,2022-06-30
2022-10-31,2015-10-31,2022-09-30,224975,10.0,0.1354108685693002,-0.001005192883458416,0.21729590530672435,2022-09-30
2023-01-31,2016-01-31,2022-12-31,230585,10.0,0.12659993615410536,-0.0006897432254426691,0.17657135263578863,2022-12-31
2023-04-30,2016-04-30,2023-03-31,236188,10.0,0.14367426061766006,-0.0006241796809166719,0.17284176082440278,2023-03-31
2023-07-31,2016-07-31,2023-06-30,242082,100.0,0.17799600794585377,-0.001036768567809653,0.2445720620517407,2023-06-30
2023-10-31,2016-10-31,2023-09-30,247880,10.0,0.14094130022109774,-0.0006835195856635416,0.15759844524175043,2023-09-30
2024-01-31,2017-01-31,2023-12-31,253786,1000.0,0.14085640437769295,-0.0008944773612318257,0.1496830455439841,2023-12-31
2024-04-30,2017-04-30,2024-03-31,259949,10000.0,0.15084050019223946,-0.0013663792200823252,0.22880604471367447,2024-03-31
2024-07-31,2017-07-31,2024-06-30,266089,10000.0,0.1360811878862409,-0.0009876739536692637,0.20414482079419918,2024-06-30
2024-10-31,2017-10-31,2024-09-30,271873,10000.0,0.10908689960519267,-0.0003410827610940994,0.07459795513965346,2024-09-30
2025-01-31,2018-01-31,2024-12-31,277416,10000.0,0.12252307888417224,-0.0005450983073687351,0.14635432387156283,2024-12-31
2025-04-30,2018-04-30,2025-03-31,282906,10.0,0.10382679011191602,-0.00026068747851784027,0.07733464359847489,2025-03-31
2025-07-31,2018-07-31,2025-06-30,287889,10.0,0.10228282538159582,-0.00019588187127211543,0.06555979430482664,2025-06-30
2025-10-31,2018-10-31,2025-09-30,292662,100.0,0.14175008932353253,-0.0006844722543414703,0.18810164317382172,2025-09-30
