period,series,cost_bps,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,avg_turnover
development,turnover_aware_long_only,20,0.07006552059869864,0.1994027179231202,0.3513769587920684,-0.26863836567421007,0.311117101694353,48,0.17873287258347614
development,turnover_aware_long_only,50,0.06319804428574627,0.1995488392789705,0.3167046449084829,-0.271066370845914,0.27778173606653866,48,0.17873287258347614
development,turnover_aware_long_only,100,0.05183661307430909,0.19981590439191732,0.25942185749457247,-0.27509782437039176,0.22403302624294064,48,0.17873287258347614
selection,turnover_aware_long_only,20,-0.014786334518516964,0.17410537027958572,-0.08492750392921508,-0.16622567884336503,-0.029354033348540476,24,0.21976092260080715
selection,turnover_aware_long_only,50,-0.022584543036003435,0.174189739182822,-0.12965484156503432,-0.16956239290510022,-0.04465902448786174,24,0.21976092260080715
selection,turnover_aware_long_only,100,-0.03545677236296063,0.17433533304331333,-0.20338259458942526,-0.17509909967559512,-0.06965636201952241,24,0.21976092260080715
retrospective_test,turnover_aware_long_only,20,0.2730930249617791,0.18379260981661644,1.4858759839923072,-0.11093271705541385,0.588480663557347,23,0.17084986733713348
retrospective_test,turnover_aware_long_only,50,0.26540224730697703,0.18391094192467342,1.4431019956152527,-0.11321515146457639,0.5701391870169799,23,0.17084986733713348
retrospective_test,turnover_aware_long_only,100,0.25267733248354696,0.18411454096033944,1.3723920509786176,-0.11700947821983787,0.5400157746531435,23,0.17084986733713348
development,turnover_aware_industry_neutral_diagnostic,20,0.17771793996384155,0.12261082252249669,1.4494474166930393,-0.10260604081821989,0.9238232212986099,48,0.425511019654444
development,turnover_aware_industry_neutral_diagnostic,50,0.15996026286060672,0.12315150409132983,1.2988900463771786,-0.1079419888665023,0.8103912705805265,48,0.425511019654444
development,turnover_aware_industry_neutral_diagnostic,100,0.13088952065478976,0.12418306118613995,1.0540046235339406,-0.11678824036826474,0.6356136219786068,48,0.425511019654444
selection,turnover_aware_industry_neutral_diagnostic,20,0.28239765066932865,0.1323630901060598,2.1335075393227014,-0.043746973731450645,0.6445437344422136,24,0.4974493211595272
selection,turnover_aware_industry_neutral_diagnostic,50,0.26011084968261455,0.1321103289054062,1.9688910915425808,-0.04531761521654676,0.587879353487841,24,0.4974493211595272
selection,turnover_aware_industry_neutral_diagnostic,100,0.22374990009246432,0.13171488501076484,1.6987442237388555,-0.047932543386558946,0.4975638179763162,24,0.4974493211595272
retrospective_test,turnover_aware_industry_neutral_diagnostic,20,0.005546511668342413,0.21574828731924084,0.025708253526644635,-0.2299021017460089,0.01065783500992068,23,0.3947064648022158
retrospective_test,turnover_aware_industry_neutral_diagnostic,50,-0.008714999036402715,0.21593470746504287,-0.04035941761614938,-0.234909474693607,-0.01663701093614367,23,0.3947064648022158
retrospective_test,turnover_aware_industry_neutral_diagnostic,100,-0.03207839728197104,0.2162709844548748,-0.14832501624213135,-0.2511363961698496,-0.06057881357685435,23,0.3947064648022158
development,current_advanced_long_only,20,0.07693940953155232,0.1967715106600079,0.39100888778809173,-0.25380304950734345,0.34513254158658513,48,0.38162308500376324
development,current_advanced_long_only,50,0.062250313431841064,0.19703931368136932,0.315928391490977,-0.26116120692361766,0.27323178441073703,48,0.38162308500376324
development,current_advanced_long_only,100,0.03817258312055283,0.19749906469747008,0.193279817193189,-0.2732870087938948,0.161657824492351,48,0.38162308500376324
selection,current_advanced_long_only,20,0.0033534520050688688,0.1788050093822596,0.018754798965948807,-0.1642162953038171,0.006718149650488003,24,0.31495074136007833
selection,current_advanced_long_only,50,-0.007954732677872611,0.17868426696129963,-0.04451837206011813,-0.16832309731328898,-0.015846187583768878,24,0.31495074136007833
selection,current_advanced_long_only,100,-0.026542813121097186,0.17848550763137738,-0.14871130700379068,-0.1751304855876381,-0.0523811053138129,24,0.31495074136007833
retrospective_test,current_advanced_long_only,20,0.2987931662497816,0.18327112863804287,1.630334076459433,-0.10952882532521035,0.6505106215655874,23,0.31494436253312713
retrospective_test,current_advanced_long_only,50,0.2844442699638643,0.18327048761779582,1.5520462331996565,-0.11258233227803305,0.6157379505360068,23,0.31494436253312713
retrospective_test,current_advanced_long_only,100,0.2608511013525252,0.18327340299844108,1.4232894521784156,-0.11765409323643006,0.5593333022198639,23,0.31494436253312713
development,current_advanced_industry_neutral_diagnostic,20,0.22784250583232235,0.13629116190995452,1.6717335345842483,-0.13721891145842102,1.2728493751242773,48,1.1988310191526799
development,current_advanced_industry_neutral_diagnostic,50,0.17667300407158182,0.13655919548098688,1.293746667511526,-0.14691042013366162,0.9170046172399511,48,1.1988310191526799
development,current_advanced_industry_neutral_diagnostic,100,0.09570826972043167,0.13704729350105532,0.6983594296205103,-0.16290228632469328,0.4413842020827643,48,1.1988310191526799
selection,current_advanced_industry_neutral_diagnostic,20,0.3149171019781749,0.13924417396285707,2.2616177971092566,-0.04008546070289398,0.7290069850746821,24,1.0815247302058886
selection,current_advanced_industry_neutral_diagnostic,50,0.26568282558936107,0.13940839469460053,1.9057878556839254,-0.04560695860474939,0.6019530149918688,24,1.0815247302058886
selection,current_advanced_industry_neutral_diagnostic,100,0.18736342294003383,0.13969580476768167,1.3412244072155555,-0.05798680622636132,0.40983189813587373,24,1.0815247302058886
retrospective_test,current_advanced_industry_neutral_diagnostic,20,0.049296448192508446,0.21704349665731107,0.227127045738405,-0.2193448385450495,0.08785711091542647,21,1.0440466780216204
retrospective_test,current_advanced_industry_neutral_diagnostic,50,0.010501807920511252,0.21738359660185144,0.048310029296947464,-0.22534621897481966,0.01845047720751447,21,1.0440466780216204
retrospective_test,current_advanced_industry_neutral_diagnostic,100,-0.05125007131868409,0.21796188140943232,-0.23513318469853434,-0.23529717803227324,-0.0879564560844408,21,1.0440466780216204
