period,series,cost_bps,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,avg_turnover
development,turnover_budget_long_only,20,0.03979874147102547,0.1604734595245219,0.24800824752546594,-0.2238140029715293,0.16895326893156248,48,0.11875000000000002
development,turnover_budget_industry_neutral_diagnostic,20,0.14019399948050815,0.10826146825811839,1.294957492597974,-0.10232365632068408,0.6901101285675972,48,0.42904848601471696
development,turnover_budget_long_only,50,0.03533618674116212,0.16069379341751824,0.21989764501576514,-0.22550353191498118,0.14901467220827413,48,0.11875000000000002
development,turnover_budget_industry_neutral_diagnostic,50,0.12287953773060178,0.10834067931897161,1.1341957471839874,-0.10459725052121183,0.5897640467074474,48,0.42904848601471696
development,turnover_budget_long_only,100,0.027933021527905666,0.16108549064027505,0.17340495048237306,-0.22912854511943592,0.11650139643018398,48,0.11875000000000002
development,turnover_budget_industry_neutral_diagnostic,100,0.09454278665478566,0.10859211054238924,0.8706229778808896,-0.108380174188758,0.4352612932877602,48,0.42904848601471696
selection,turnover_budget_long_only,20,-0.014349021474889923,0.14052615549047293,-0.10210925805810382,-0.1347912556250337,-0.028492148532493045,24,0.10000000000000002
selection,turnover_budget_industry_neutral_diagnostic,20,0.19556932794182025,0.11854734912232175,1.6497148978002387,-0.04847495105863442,0.429386017915256,24,0.4000000003605993
selection,turnover_budget_long_only,50,-0.017898664439909617,0.14052615549047293,-0.12736891845819456,-0.13638653493106478,-0.03547696669108669,24,0.10000000000000002
selection,turnover_budget_industry_neutral_diagnostic,50,0.17870873604917858,0.11854734912211913,1.5074882515094068,-0.051953444665226,0.38935428443865217,24,0.4000000003605993
selection,turnover_budget_long_only,100,-0.023788709270846753,0.14052615549047293,-0.16928314296949173,-0.1390398880947411,-0.04701151585292074,24,0.10000000000000002
selection,turnover_budget_industry_neutral_diagnostic,100,0.15109136803375223,0.11854734912178146,1.2745233795024713,-0.057732077335668985,0.3250113375618153,24,0.4000000003605993
retrospective_test,turnover_budget_long_only,20,0.21242254963988927,0.1467789967189897,1.4472271536681438,-0.0851853472949251,0.4465613033030307,23,0.10000000000000003
retrospective_test,turnover_budget_industry_neutral_diagnostic,20,-0.002244876656518513,0.17524116166396772,-0.012810213280959402,-0.19757960123775076,-0.004298252946632997,23,0.40000000057425994
retrospective_test,turnover_budget_long_only,50,0.2081310408007515,0.1467789967189897,1.4179892590437928,-0.086307535348768,0.43676337557502976,23,0.10000000000000003
retrospective_test,turnover_budget_industry_neutral_diagnostic,50,-0.01653920562418998,0.1752411616641939,-0.09437968492746729,-0.19972917528612855,-0.03145973124747692,23,0.40000000057425994
retrospective_test,turnover_budget_long_only,100,0.201009453986142,0.1467789967189897,1.3694701454526033,-0.08817555439745028,0.4205743974772296,23,0.10000000000000003
retrospective_test,turnover_budget_industry_neutral_diagnostic,100,-0.03994663984459834,0.17524116166457082,-0.22795237982421174,-0.21494509243078042,-0.07516101241049844,23,0.40000000057425994
