signal_month,realization_month,stock_code,weight,reason,unresolved_delisting,return_was_zero_imputed
2018-02-28,2018-03-31,002143,0.0067424798091017,suspended_or_no_executable_quote,False,False
2018-02-28,2018-03-31,002584,0.0105392153305678,suspended_or_no_executable_quote,False,False
2018-02-28,2018-03-31,300409,0.0036537834304195,suspended_or_no_executable_quote,False,False
2018-02-28,2018-03-31,600165,0.0039515104168252,suspended_or_no_executable_quote,False,False
2018-02-28,2018-03-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2018-03-31,2018-04-30,002143,0.0067424798091017,suspended_or_no_executable_quote,False,False
2018-03-31,2018-04-30,002584,0.0105392153305678,suspended_or_no_executable_quote,False,False
2018-03-31,2018-04-30,300409,0.0036537834304195,suspended_or_no_executable_quote,False,False
2018-03-31,2018-04-30,600158,0.0130165448464666,suspended_or_no_executable_quote,False,False
2018-03-31,2018-04-30,600165,0.0039515104168252,suspended_or_no_executable_quote,False,False
2018-03-31,2018-04-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2018-04-30,2018-05-31,002143,0.0067424798091017,suspended_or_no_executable_quote,False,False
2018-04-30,2018-05-31,002584,0.0105392153305678,suspended_or_no_executable_quote,False,False
2018-04-30,2018-05-31,600158,0.0130165448464666,suspended_or_no_executable_quote,False,False
2018-04-30,2018-05-31,600165,0.0039515104168252,suspended_or_no_executable_quote,False,False
2018-04-30,2018-05-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2018-05-31,2018-06-30,002143,0.0067424798091017,suspended_or_no_executable_quote,False,False
2018-05-31,2018-06-30,600158,0.0130165448464666,suspended_or_no_executable_quote,False,False
2018-05-31,2018-06-30,600165,0.0039515104168252,suspended_or_no_executable_quote,False,False
2018-05-31,2018-06-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2018-05-31,2018-06-30,000669,0.0046076575427796,suspended_or_no_executable_quote,False,False
2018-05-31,2018-06-30,300118,0.0052745987574881,suspended_or_no_executable_quote,False,False
2018-06-30,2018-07-31,002610,0.0033848432451281,suspended_or_no_executable_quote,False,False
2018-06-30,2018-07-31,002856,0.0041027595626019,suspended_or_no_executable_quote,False,False
2018-06-30,2018-07-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2018-06-30,2018-07-31,600146,0.0023572213776938,suspended_or_no_executable_quote,False,False
2018-06-30,2018-07-31,000603,0.0065024730500177,suspended_or_no_executable_quote,False,False
2018-06-30,2018-07-31,000669,0.0046076575427796,suspended_or_no_executable_quote,False,False
2018-06-30,2018-07-31,300118,0.0052745987574881,suspended_or_no_executable_quote,False,False
2018-07-31,2018-08-31,002610,0.0033848432451281,suspended_or_no_executable_quote,False,False
2018-07-31,2018-08-31,002856,0.0041027595626019,suspended_or_no_executable_quote,False,False
2018-07-31,2018-08-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2018-08-31,2018-09-30,002610,0.0033848432451281,suspended_or_no_executable_quote,False,False
2018-08-31,2018-09-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2018-09-30,2018-10-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2018-10-31,2018-11-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2018-11-30,2018-12-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2018-12-31,2019-01-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2019-01-31,2019-02-28,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2019-02-28,2019-03-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2019-03-31,2019-04-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2019-04-30,2019-05-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2019-05-31,2019-06-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2019-06-30,2019-07-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2019-07-31,2019-08-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2019-08-31,2019-09-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2019-09-30,2019-10-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2019-10-31,2019-11-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2019-11-30,2019-12-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2019-12-31,2020-01-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2020-01-31,2020-02-29,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2020-02-29,2020-03-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2020-03-31,2020-04-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2020-04-30,2020-05-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2020-05-31,2020-06-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2020-06-30,2020-07-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2020-06-30,2020-07-31,600614,0.0013637792163865,unresolved_delisting_or_code_change_state_S,True,False
2020-07-31,2020-08-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2020-07-31,2020-08-31,600614,0.0013637792163865,unresolved_delisting_or_code_change_state_S,True,False
2020-08-31,2020-09-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2020-08-31,2020-09-30,600614,0.0013637792163865,unresolved_delisting_or_code_change_state_S,True,False
2020-09-30,2020-10-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2020-09-30,2020-10-31,600614,0.0013637792163865,unresolved_delisting_or_code_change_state_S,True,False
2020-10-31,2020-11-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2020-10-31,2020-11-30,600614,0.0013637792163865,unresolved_delisting_or_code_change_state_S,True,False
2020-11-30,2020-12-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2020-11-30,2020-12-31,600614,0.0013637792163865,unresolved_delisting_or_code_change_state_S,True,False
2020-12-31,2021-01-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2020-12-31,2021-01-31,600614,0.0013637792163865,unresolved_delisting_or_code_change_state_S,True,False
2021-01-31,2021-02-28,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2021-01-31,2021-02-28,600614,0.0013637792163865,unresolved_delisting_or_code_change_state_S,True,False
2021-02-28,2021-03-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2021-02-28,2021-03-31,600614,0.0013637792163865,unresolved_delisting_or_code_change_state_S,True,False
2021-03-31,2021-04-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2021-03-31,2021-04-30,600614,0.0013637792163865,unresolved_delisting_or_code_change_state_S,True,False
2021-04-30,2021-05-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2021-04-30,2021-05-31,600614,0.0013637792163865,unresolved_delisting_or_code_change_state_S,True,False
2021-05-31,2021-06-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2021-06-30,2021-07-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2021-07-31,2021-08-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2021-08-31,2021-09-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2021-09-30,2021-10-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2021-10-31,2021-11-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2021-11-30,2021-12-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2021-12-31,2022-01-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2022-01-31,2022-02-28,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2022-02-28,2022-03-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2022-03-31,2022-04-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2022-04-30,2022-05-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2022-05-31,2022-06-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2022-06-30,2022-07-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2022-07-31,2022-08-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2022-08-31,2022-09-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2022-09-30,2022-10-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2022-10-31,2022-11-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2022-11-30,2022-12-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2022-12-31,2023-01-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2023-01-31,2023-02-28,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2023-02-28,2023-03-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2023-03-31,2023-04-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2023-04-30,2023-05-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2023-05-31,2023-06-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2023-06-30,2023-07-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2023-07-31,2023-08-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2023-08-31,2023-09-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2023-08-31,2023-09-30,000666,0.0022626294259714,suspended_or_no_executable_quote,False,False
2023-09-30,2023-10-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2023-09-30,2023-10-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2023-10-31,2023-11-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2023-10-31,2023-11-30,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2023-11-30,2023-12-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2023-11-30,2023-12-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2023-12-31,2024-01-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2023-12-31,2024-01-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-01-31,2024-02-29,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-01-31,2024-02-29,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-02-29,2024-03-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-02-29,2024-03-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-03-31,2024-04-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-03-31,2024-04-30,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-04-30,2024-05-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-04-30,2024-05-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-05-31,2024-06-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-05-31,2024-06-30,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-06-30,2024-07-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-06-30,2024-07-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-07-31,2024-08-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-07-31,2024-08-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-08-31,2024-09-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-08-31,2024-09-30,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-09-30,2024-10-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
